m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
99999,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,QuTr_PC105_03_03,1,10000733,0,0,0,0,0,0,10024,QuTr_PC105_03_03,7,0,3,0,,194,194,194,194,194,0,2,2105030,0,1439,3,2105030,0,1439,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,QuTr_PC130_04_02,1,10000648,0,0,0,0,0,0,10024,QuTr_PC130_04_02,8,0,3,10,,194,194,194,194,194,0,2,2130040,0,1314,3,2130040,0,1314,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
0,eTALK_B06S_1_3,1,1515,0,0,0,0,0,0,10024,B06S_1_3,0,0,4,0,,194,194,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,eTreBX_RvD21B_001,6,0,0,10088,0,0,0,0,10006,eTreBX_RvD21B_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,eTreBX_RvD21B_002,6,0,0,10089,0,0,0,0,10006,eTreBX_RvD21B_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,eTreBX_RvD21B_003,6,0,0,10090,0,0,0,0,10006,eTreBX_RvD21B_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B06S_1_3_BLOCK,9,0,0,0,0,0,0,0,10024,B06S_1_3_BLOCK,99999999,0,0,0,,195,195,195,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eRP_DPRv21B1_001,5,0,0,0,0,29,0,0,10006,eRP_DPRv21B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Pnl_RvD21B_B06_01_03_Mob001_v1,1,1719,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob001,99999999,0,1,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Pnl_RvD21B_B06_01_03_Mob002_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob002,99999999,0,4,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Pnl_RvD21B_B06_01_03_Mob003_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob003,99999999,0,4,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Pnl_RvD21B_B06_01_03_Mob004_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob004,99999999,0,4,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Pnl_RvD21B_B06_01_03_Mob005_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob005,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Pnl_RvD21B_B06_01_03_Mob006_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob006,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Pnl_RvD21B_B06_01_03_Mob007_v1,1,10000082,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob007,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Pnl_RvD21B_B06_01_03_Mob008_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob008,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,Pnl_RvD21B_B06_01_03_Mob009_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob009,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Pnl_RvD21B_B06_01_03_Mob010_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob010,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,Pnl_RvD21B_B06_01_03_Mob011_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob011,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Pnl_RvD21B_B06_01_03_Mob014_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob014,99999999,0,1,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,Pnl_RvD21B_B06_01_03_Mob015_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob015,99999999,0,4,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,Pnl_RvD21B_B06_01_03_Mob017_v1,1,10000645,0,0,0,0,0,0,10006,Pnl_RvD21B_B06_01_03_Mob017,99999999,0,3,0,,194,195,194,194,194,0,2,1006010,0,1045,3,1006010,0,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,eSymEnm_DPRv21B1_001,10,0,0,0,6091,0,0,0,10024,eSymEnm_DPRv21B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,eSymEnm_DPRv21B1_002,10,0,0,0,6092,0,0,0,10024,eSymEnm_DPRv21B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,Lck_Blockage_shifuro_A_RvD21B,9,0,378,0,0,0,0,0,10024,Lck_Blockage_shifuro_A_RvD21B,99999999,0,0,0,,195,195,194,194,194,0,3,1006010,0,1045,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
