m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
2,eTALK_B04S_0_4,1,0,0,0,0,0,0,0,25,B04S_0_4,2,0,0,0,,195,195,194,194,195,0,2,1004000,0,535,3,1004000,0,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTALK_B04S_9_1,1,1557,0,0,0,0,0,0,25,B04S_9_1,5,0,1,0,,194,195,194,194,195,0,2,1004090,0,922,3,1004090,0,922,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eSymEnm_DPSe1B1_001,10,0,0,0,3011,0,0,0,25,eSymEnm_DPSe1B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eSymEnm_DPSe1B1_002,10,0,0,0,3012,0,0,0,25,eSymEnm_DPSe1B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_DPSe1B1_001,6,0,0,3010,0,0,0,0,25,eTreBX_DPSe1B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_DPSe1B1_002,6,0,0,3011,0,0,0,0,25,eTreBX_DPSe1B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTreBX_DPSe1B1_003,6,0,0,3012,0,0,0,0,25,eTreBX_DPSe1B1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eNPC_Lock_DP_Sea_1001_B1_001,9,0,0,0,0,0,0,0,25,eNPC_Lock_DP_Sea_1001_B1_001,6,0,0,0,Sea_D_1B1_02,194,195,194,194,195,0,2,1004000,0,535,3,1004000,0,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eTALK_Lck_B04S_0_3,9,0,0,0,0,0,0,0,25,Lck_B04S_0_3,1,0,0,0,Sea_D_1B1_03,194,195,194,194,195,0,2,1004000,0,535,3,1004000,0,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eRP_DPSe1B1_001,5,0,0,0,0,16,0,0,25,eRP_DPSe1B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Lck_Lock001_SeD11B_v1,9,0,0,0,0,0,0,0,25,Lck_Lock001_SeD11B,7,0,0,0,Sea_D_1B1_03,194,195,194,194,195,0,3,1004000,0,986,3,1004090,0,921,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Lck_Lock001_SeD11B_v2,9,0,0,0,0,0,0,0,25,Lck_Lock001_SeD11B,9,0,0,0,Sea_D_1B1_03,194,195,194,194,195,0,3,1006020,0,1716,3,1008000,0,31,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eTALK_EvTutorial_29,1,0,0,0,0,0,0,0,25,EvTutorial_29,8,0,1,0,,195,195,194,194,195,0,3,1004090,0,922,0,0,0,0,"[0, 0, 0, 0]","[30094, 0, 0, 0]",194,0,194
