m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
5,eTALK_B04S_0_3,9,0,0,0,0,0,0,0,259,B04S_0_3,5,0,0,0,Sea_D_1C1_01,194,195,195,194,195,0,2,1004000,0,534,3,1004000,0,534,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B04S_0_5,1,1556,0,0,0,0,0,0,259,B04S_0_5,1,0,3,38,,194,194,194,194,194,0,2,1004000,0,986,3,1004000,0,986,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B04S_0_5_NPC1,1,1555,0,0,0,0,0,0,259,B04S_0_5_NPC1,2,0,4,38,,194,195,194,194,194,0,2,1004000,0,986,3,1004000,0,986,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B04S_0_4_NPC1,1,1556,0,0,0,0,0,0,259,B04S_0_4_NPC1,3,0,3,30,,194,195,194,194,195,0,2,1004000,0,535,3,1004000,0,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B04S_0_4_NPC2,1,1555,0,0,0,0,0,0,259,B04S_0_4_NPC2,4,0,4,27,,194,195,194,194,195,0,2,1004000,0,535,3,1004000,0,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B04S_0_1_NPC1,1,1555,0,0,0,0,0,0,259,B04S_0_3_NPC1,99999999,0,1,0,,194,195,194,194,194,0,2,1004000,0,534,3,1004000,0,534,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_B04S_0_1_NPC2,1,1556,0,0,0,0,0,0,259,B04S_0_3_NPC2,99999999,0,1,0,,194,195,194,194,194,0,2,1004000,0,534,3,1004000,0,534,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTALK_B04S_0_1_NPC3,1,1557,0,0,0,0,0,0,259,B04S_0_3_NPC3,5,0,1,0,,194,194,194,194,194,0,2,1004000,0,534,3,1004000,0,534,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_NPC_B04_055_SeD11C_v1,1,1555,0,0,0,0,0,0,259,Tlk_NPC_B04_055_SeD11C,8,0,4,0,,194,194,194,194,194,0,3,1004090,0,922,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_NPC_B04_056_SeD11C_v1,1,1556,0,0,0,0,0,0,259,Tlk_NPC_B04_056_SeD11C,10,0,3,0,,194,194,194,194,194,0,3,1004090,0,922,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Wall_001,9,0,0,0,0,0,0,0,259,Wall_001,99999999,0,0,0,,194,195,195,194,194,0,0,0,0,0,3,1008000,0,1978,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
