m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B06S_2_9_10,1,10000609,0,0,0,0,0,0,100023,B06S_2_9_10,1,0,3,1,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B06S_2_9_12,9,10000653,0,0,0,0,0,0,100023,B06S_2_9_12,4,0,0,0,Sea_D_2001A1_02,194,195,194,194,195,0,2,1006020,0,1715,3,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B06S_2_10,9,10000653,0,0,0,0,0,0,100023,B06S_2_10,5,0,0,0,Spawn0,194,195,194,194,195,0,2,1006020,0,1716,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTreBX_SeD21A_001,6,0,0,10157,0,0,0,0,100023,eTreBX_SeD21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_SeD21A_002,6,0,0,10158,0,0,0,0,100023,eTreBX_SeD21A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_SeD21A_003,6,0,0,10159,0,0,0,0,100023,eTreBX_SeD21A_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTreBX_SeD21A_004,6,0,0,10160,0,0,0,0,100023,eTreBX_SeD21A_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eSymEnm_SeD21A_001,10,0,0,0,3045,0,0,0,100023,eSymEnm_SeD21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eSymEnm_SeD21A_002,10,0,0,0,3046,0,0,0,100023,eSymEnm_SeD21A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,NPC_ToTown,19,10000653,0,0,0,0,0,0,100023,B06S_2_9_10,8,36,0,0,,194,194,195,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
