m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,eTALK_B02S_3_6,9,0,0,0,0,0,0,0,63,B02S_3_6,0,0,1,0,Snw_D_2B1_01,194,195,194,194,195,0,2,1002030,0,392,3,1002030,0,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eSymEnm_DPSn1002B1_001,10,0,0,0,1007,0,0,0,63,eSymEnm_DPSn1002B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eSymEnm_DPSn1002B1_002,10,0,0,0,1008,0,0,0,63,eSymEnm_DPSn1002B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Lck_ObjRope_SnD12B_v1,9,0,0,0,0,0,0,0,63,Lck_ObjRope_SnD12B_v1,99999999,0,1,0,,195,195,194,194,194,0,3,1002030,0,392,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eRP_DPSn2B1_001,5,0,0,0,0,14,0,0,63,eRP_DPSn2B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Pnl_SnD12B_ObjRope_v1,9,0,100,0,0,0,0,0,63,Pnl_SnD12B_ObjRope_v1,99999999,0,1,0,,194,195,194,194,194,0,3,1002030,0,392,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTreBX_DPSn1002B1_001,6,0,0,1030,0,0,0,0,63,eTreBX_DPSn1002B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTreBX_DPSn1002B1_002,6,0,0,1031,0,0,0,0,63,eTreBX_DPSn1002B1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTreBX_DPSn1002B1_003,6,0,0,1032,0,0,0,0,63,eTreBX_DPSn1002B1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTreBX_DPSn1002B1_004,6,0,0,1033,0,0,0,0,63,eTreBX_DPSn1002B1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
