m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
13,eTALK_B02S_2_7,9,0,0,0,0,0,0,0,119,B02S_2_7,3,0,3,0,Spawn3,194,195,195,194,195,0,2,1002020,0,386,3,1002020,0,386,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,eTALK_B02S_2_7_Destination,1,0,0,0,0,0,0,0,119,B02S_2_7_Destination,99999999,0,0,0,,194,195,194,194,194,0,2,1002020,0,386,3,1002020,0,386,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B02S_3_1,1,1306,0,0,0,0,0,0,119,B02S_3_1,1,0,3,35,,194,194,194,194,194,0,2,1002030,0,388,3,1002030,0,388,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eTALK_B02S_3_3,1,0,0,0,0,0,0,0,119,B02S_3_3,5,0,3,0,,195,195,194,194,195,0,2,1002030,0,390,3,1002030,0,390,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eSymEnm_DPSn1004A1_001,10,0,0,0,1011,0,0,0,119,eSymEnm_DPSn1004A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eSymEnm_DPSn1004A1_002,10,0,0,0,1012,0,0,0,119,eSymEnm_DPSn1004A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eNPC_Lock_EvB02_01_002A,9,0,61,0,0,0,0,0,119,eNPC_Lock_EvB02_01_002A,2,0,4,0,Spawn5,194,195,194,194,195,0,0,0,0,0,3,1002030,0,388,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eRP_DPSn1004A1_001,5,0,0,0,0,6,0,0,119,eRP_DPSn1004A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTreBX_DPSn1004A1_001,6,0,0,1060,0,0,0,0,119,eTreBX_DPSn1004A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTreBX_DPSn1004A1_002,6,0,0,1061,0,0,0,0,119,eTreBX_DPSn1004A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTreBX_DPSn1004A1_003,6,0,0,1062,0,0,0,0,119,eTreBX_DPSn1004A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,QuTr_PC097_02_03,1,10000653,0,0,0,0,0,0,119,QuTr_PC097_02_03,26,0,1,1,,194,194,194,194,194,0,2,2097020,0,1643,3,2097020,0,1643,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,QuTr_PC082_03_02,1,10000653,0,0,0,0,0,0,119,QuTr_PC082_03_02,28,0,1,1,,194,194,194,194,194,0,2,2082030,0,1508,3,2082030,0,1508,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,eTALK_B02S_2_6_Destination,1,10000653,0,0,0,0,0,0,119,B02S_2_6_Destination,99999999,0,0,0,,195,195,194,194,195,0,2,1002020,0,385,3,1002020,0,385,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
