m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,eTALK_B07S_0_3_Exit,1,0,0,0,0,0,0,0,2021,B07S_0_3_Exit,0,15,1,0,,195,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_Tlk_EvB07_F001_SnT21C,1,10000450,0,0,0,0,0,0,2021,Tlk_EvB07_F001_SnT21C,24,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6002, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_Tlk_EvB07_F002_SnT21C,1,10000451,0,0,0,0,0,0,2021,Tlk_EvB07_F002_SnT21C,25,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6003, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_Tlk_EvB07_W003_SnT21C,1,10000452,0,0,0,0,0,0,2021,Tlk_EvB07_W003_SnT21C,26,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_Tlk_EvB07_W004_SnT21C,1,10000453,0,0,0,0,0,0,2021,Tlk_EvB07_W004_SnT21C,27,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6004, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_Tlk_EvB07_P005_SnT21C,1,10000454,0,0,0,0,0,0,2021,Tlk_EvB07_P005_SnT21C,28,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_Tlk_EvB07_P006_SnT21C,1,10000455,0,0,0,0,0,0,2021,Tlk_EvB07_P006_SnT21C,29,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6005, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_Tlk_EvB07_F007_SnT21C,1,10000456,0,0,0,0,0,0,2021,Tlk_EvB07_F007_SnT21C,30,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTALK_Tlk_EvB07_F008_SnT21C,1,10000457,0,0,0,0,0,0,2021,Tlk_EvB07_F008_SnT21C,31,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTALK_Tlk_EvB07_P009_SnT21C,1,10000458,0,0,0,0,0,0,2021,Tlk_EvB07_P009_SnT21C,32,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTALK_Tlk_EvB07_P010_SnT21C,1,10000459,0,0,0,0,0,0,2021,Tlk_EvB07_P010_SnT21C,33,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6006, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTALK_Tlk_EvB07_W011_SnT21C,1,10000692,0,0,0,0,0,0,2021,Tlk_EvB07_W011_SnT21C,34,0,1,0,,194,194,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6007, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTALK_Obj_EvB07_F001_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_F001_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6002, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eTALK_Obj_EvB07_F002_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_F002_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6003, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eTALK_Obj_EvB07_W003_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_W003_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eTALK_Obj_EvB07_W004_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_W004_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6004, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eTALK_Obj_EvB07_P005_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_P005_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,eTALK_Obj_EvB07_P006_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_P006_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6005, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,eTALK_Obj_EvB07_F007_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_F007_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,eTALK_Obj_EvB07_F008_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_F008_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,eTALK_Obj_EvB07_P009_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_P009_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,eTALK_Obj_EvB07_P010_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_P010_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6006, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,eTALK_Obj_EvB07_W011_SnT21C,8,0,242,0,0,0,0,0,2021,Obj_EvB07_W011_SnT21C,99999999,0,0,0,,194,195,194,195,194,0,2,1007000,0,1058,3,1007000,0,1365,"[6007, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
