m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
22,QuTr_PC013_03_03,1,0,0,0,0,0,0,0,1,QuTr_PC013_03_03,20,0,1,0,,194,194,194,194,194,0,2,2013030,0,674,3,2013030,0,674,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,QuTr_PC021_01_02,1,0,0,0,0,0,0,0,1,QuTr_PC021_01_02,22,0,1,0,,194,194,194,194,194,0,2,2021010,0,126,3,2021010,0,126,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC055_01_02,1,0,0,0,0,0,0,0,1,QuTr_PC055_01_02,17,0,1,0,,194,194,194,194,194,0,2,2055010,0,262,3,2055010,0,262,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,QuTr_PC055_02_03,1,0,0,0,0,0,0,0,1,QuTr_PC055_02_03,18,0,1,0,,194,194,194,194,194,0,2,2055020,0,437,3,2055020,0,437,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eTALK_B04S_9_0,1,5239,0,0,0,0,0,0,1,B04S_9_0,11,0,4,0,,194,194,194,194,194,0,1,1004090,0,0,2,1004090,0,922,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eSymEnm_FPCl1A1_001,10,0,0,0,7041,0,0,0,1,eSymEnm_FPCl1A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eSymEnm_FPCl1A1_002,10,0,0,0,7042,0,0,0,1,eSymEnm_FPCl1A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTreBX_FPCl1A1_001,6,0,0,7090,0,0,0,0,1,eTreBX_FPCl1A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTreBX_FPCl1A1_002,6,0,0,7091,0,0,0,0,1,eTreBX_FPCl1A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTreBX_FPCl1A1_003,6,0,0,7092,0,0,0,0,1,eTreBX_FPCl1A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTreBX_FPCl1A1_004,6,0,0,7093,0,0,0,0,1,eTreBX_FPCl1A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
