m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
22,QuTr_PC006_01_02,1,0,0,0,0,0,0,0,28,QuTr_PC006_01_02,20,0,1,0,,194,194,194,194,194,0,2,2006010,0,66,3,2006010,0,66,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,QuTr_PC027_03_02,1,0,0,0,0,0,0,0,28,QuTr_PC027_03_02,22,0,1,0,,194,194,194,194,194,0,2,2027030,0,455,3,2027030,0,455,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,QuTr_PC030_02_02,1,0,0,0,0,0,0,0,28,QuTr_PC030_02_02,17,0,1,0,,194,194,194,194,194,0,2,2030020,0,593,3,2030020,0,593,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC030_03_02,1,0,0,0,0,0,0,0,28,QuTr_PC030_03_02,19,0,1,0,,194,194,194,194,194,0,2,2030030,0,595,3,2030030,0,595,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eSymEnm_FPDe2A1_001,10,0,0,0,5021,0,0,0,28,eSymEnm_FPDe2A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eSymEnm_FPDe2A1_002,10,0,0,0,5022,0,0,0,28,eSymEnm_FPDe2A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,eTreBX_FPDe2A1_001,6,0,0,5020,0,0,0,0,28,eTreBX_FPDe2A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,eTreBX_FPDe2A1_002,6,0,0,5021,0,0,0,0,28,eTreBX_FPDe2A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eTreBX_FPDe2A1_003,6,0,0,5022,0,0,0,0,28,eTreBX_FPDe2A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eTreBX_FPDe2A1_004,6,0,0,5023,0,0,0,0,28,eTreBX_FPDe2A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Lck_Chip_Desert_A_DsF12A,9,0,0,0,0,0,0,0,28,Lck_Chip_Desert_A_DsF12A,99999999,0,0,0,,194,195,195,194,194,0,0,0,0,0,3,1005020,0,992,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Lck_SIGNINFO_W_001_DsF12A,9,0,59,0,0,0,0,0,28,Lck_SIGNINFO_W_001_DsF12A,5,0,0,0,Spawn3,194,195,194,194,195,0,0,0,0,0,1,1004050,0,884,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eObj_Guide_FP_Desert_1002_A1_001,8,0,38,0,0,0,0,0,28,eObj_Guide_FP_Desert_1002_A1_001,12,15,0,0,,194,194,194,194,194,0,0,0,0,0,3,1005020,0,992,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
35,eObj_Guide_FP_Desert_1002_A1_v2_001,8,0,38,0,0,0,0,0,28,eObj_Guide_FP_Desert_1002_A1_001,39,15,0,0,,194,194,194,194,194,0,3,1005020,0,992,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Pnl_DsF12A_Chip_Desert_A,8,0,105,0,0,0,0,0,28,Pnl_DsF12A_Chip_Desert_A,99999999,0,0,0,,194,195,194,194,194,0,0,0,0,0,3,1005020,0,992,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,QuTr_PC131_02_03,1,10000653,0,0,0,0,0,0,28,QuTr_PC131_02_03,30,0,1,0,,194,194,194,194,194,0,2,2131020,0,1763,3,2131020,0,1763,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,QuTr_PC070_04_01,1,1070,0,0,0,0,0,0,28,QuTr_PC070_04_01,32,0,3,10,,194,194,194,194,194,0,1,2070040,0,0,2,2070040,0,1522,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,QuTr_PC103_02_02,1,10000653,0,0,0,0,0,0,28,QuTr_PC103_02_02,33,0,1,0,,194,194,194,194,194,0,2,2103020,0,1784,3,2103020,0,1784,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
32,QuTr_PC088_01_02,1,10000653,0,0,0,0,0,0,28,QuTr_PC088_01_02,34,0,1,0,,194,194,194,194,194,0,2,2088010,0,1663,3,2088010,0,1663,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
