m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
72,QuTr_PC005_01_02,1,10000156,0,0,0,0,0,0,48,QuTr_PC005_01_02,83,0,4,37,,194,194,194,194,194,0,2,2005010,0,62,3,2005010,0,62,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
73,QuTr_PC005_02_03,1,0,0,0,0,0,0,0,48,QuTr_PC005_02_03,84,0,1,0,,194,194,194,194,194,0,2,2005020,0,344,3,2005020,0,344,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
59,QuTr_PC012_01_01,1,1012,0,0,0,0,0,0,48,QuTr_PC012_01_01,75,0,3,14,,194,194,194,194,194,0,1,2012010,0,0,2,2012010,0,89,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
60,QuTr_PC012_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC012_01_02,76,0,4,0,,194,194,194,194,194,0,2,2012010,0,89,3,2012010,0,89,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
61,QuTr_PC012_02_01,1,10000255,0,0,0,0,0,0,48,QuTr_PC012_02_01,77,0,4,0,,194,194,194,194,194,0,1,2012020,0,0,2,2012020,0,90,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
62,QuTr_PC012_02_03,1,10000255,0,0,0,0,0,0,48,QuTr_PC012_02_03,78,0,4,0,,194,194,194,194,194,0,2,2012020,0,91,3,2012020,0,91,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
63,QuTr_PC012_03_02,1,10000255,0,0,0,0,0,0,48,QuTr_PC012_03_02,79,0,4,37,,194,194,194,194,194,0,2,2012030,0,92,3,2012030,0,92,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
64,QuTr_PC012_03_04,1,10000255,0,0,0,0,0,0,48,QuTr_PC012_03_04,80,0,4,0,,194,194,194,194,194,0,2,2012030,0,350,3,2012030,0,350,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
65,QuTr_PC012_04_02,1,10000254,0,0,0,0,0,0,48,QuTr_PC012_04_02,81,0,4,0,,194,194,194,194,194,0,2,2012040,0,351,3,2012040,0,351,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
54,QuTr_PC014_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC014_01_02,67,0,1,0,,194,194,194,194,194,0,2,2014010,0,97,3,2014010,0,97,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
68,QuTr_PC023_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC023_01_02,86,0,1,0,,194,194,194,194,194,0,2,2023010,0,975,3,2023010,0,975,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
69,QuTr_PC023_02_02,1,0,0,0,0,0,0,0,48,QuTr_PC023_02_02,88,0,1,0,,194,194,194,194,194,0,2,2023020,0,978,3,2023020,0,978,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
70,QuTr_PC023_03_02,1,0,0,0,0,0,0,0,48,QuTr_PC023_03_02,90,0,1,0,,194,194,194,194,194,0,2,2023030,0,980,3,2023030,0,980,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
55,QuTr_PC031_01_01,1,1031,0,0,0,0,0,0,48,QuTr_PC031_01_01,69,0,3,0,,194,194,194,194,194,0,1,2031010,0,0,2,2031010,0,165,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
56,QuTr_PC031_01_02,1,10000151,0,0,0,0,0,0,48,QuTr_PC031_01_02,70,0,3,0,,194,194,194,194,194,0,2,2031010,0,165,3,2031010,0,165,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
50,QuTr_PC047_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC047_01_02,52,0,1,0,,194,194,194,194,194,0,2,2047010,0,229,3,2047010,0,229,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
51,QuTr_PC047_02_03,1,0,0,0,0,0,0,0,48,QuTr_PC047_02_03,53,0,1,0,,194,194,194,194,194,0,2,2047020,0,231,3,2047020,0,231,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
52,QuTr_PC047_03_02,1,0,0,0,0,0,0,0,48,QuTr_PC047_03_02,54,0,1,0,,194,194,194,194,194,0,2,2047030,0,810,3,2047030,0,810,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
53,QuTr_PC047_04_03,1,0,0,0,0,0,0,0,48,QuTr_PC047_04_03,55,0,1,0,,194,194,194,194,194,0,2,2047040,0,919,3,2047040,0,919,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
71,QuTr_PC048_04_03,1,0,0,0,0,0,0,0,48,QuTr_PC048_04_03,92,0,1,0,,194,194,194,194,194,0,2,2048040,0,813,3,2048040,0,813,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
48,QuTr_PC064_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC064_01_02,64,0,1,0,,194,194,194,194,194,0,2,2064010,0,293,3,2064010,0,293,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
49,QuTr_PC064_02_03,1,0,0,0,0,0,0,0,48,QuTr_PC064_02_03,65,0,1,0,,194,194,194,194,194,0,2,2064020,0,295,3,2064020,0,295,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
79,QuTr_PC072_01_02,1,0,0,0,0,0,0,0,48,QuTr_PC072_01_02,100,0,1,0,,194,194,194,194,194,0,2,2072010,0,1342,3,2072010,0,1342,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
36,eSymEnm_FPFo1001A1_001,10,0,0,0,20,0,0,0,48,eSymEnm_FPFo1001A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
37,eSymEnm_FPFo1001A1_002,10,0,0,0,21,0,0,0,48,eSymEnm_FPFo1001A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
38,eTALK_EvTutorial_11_01a,1,0,0,0,0,0,0,0,48,EvTutorial_11_01a,51,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[30086, 0, 0, 0]","[30084, 0, 0, 0]",194,0,194
47,eObj_Guide_FP_Forest_1001_A1_001,8,0,38,0,0,0,0,0,48,eObj_Guide_FP_Forest_1001_A1_001,56,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
33,eTreBX_FPFo1001A1_001,6,0,0,80,0,0,0,0,48,eTreBX_FPFo1001A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
34,eTreBX_FPFo1001A1_002,6,0,0,81,0,0,0,0,48,eTreBX_FPFo1001A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
35,eTreBX_FPFo1001A1_003,6,0,0,83,0,0,0,0,48,eTreBX_FPFo1001A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
80,eSymEnm_FPFo1001A1_004,10,0,0,0,50208,0,0,0,48,eSymEnm_FPFo1001A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
