m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,Tlk_TEST9_HClF21A_v1_,1,0,0,0,0,0,0,0,100139,Tlk_TEST9_HClF21A,2,0,1,1,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,Tlk_TEST10_HClF21A_v1_,1,0,0,0,0,0,0,0,100139,Tlk_TEST10_HClF21A,3,0,1,1,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,Tlk_TEST11_HClF21A_v1_,1,0,0,0,0,0,0,0,100139,Tlk_TEST11_HClF21A,1,0,1,1,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Tlk_HClF21_F001_HClF21A_v1_1,1,10001411,0,0,0,0,0,0,100139,Tlk_HClF21_F001_HClF21A,4,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_HClF21A_001,10,0,0,0,7057,0,0,0,100139,SymEnm_HClF21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,TreBx_HClF21A_001,6,0,0,10392,0,0,0,0,100139,TreBx_HClF21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,TreBx_HClF21A_002,6,0,0,10393,0,0,0,0,100139,TreBx_HClF21A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,TreBx_HClF21A_003,6,0,0,10394,0,0,0,0,100139,TreBx_HClF21A_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_HClF21_P001_HClF21A_v1_1,1,10001494,0,0,0,0,0,0,100139,Tlk_HClF21_P001_HClF21A,6,0,4,35,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Pnl_HClF21A_HClF21_P001_2_v1,1,10001497,0,0,0,0,0,0,100139,Pnl_HClF21A_HClF21_P001_2,99999999,0,3,35,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
