m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
35,QuTr_PC019_02_02,1,10000185,0,0,0,0,0,0,37,QuTr_PC019_02_02,37,0,3,0,,194,194,194,194,194,0,2,2019020,0,120,3,2019020,0,120,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
36,QuTr_PC019_03_02,1,0,0,0,0,0,0,0,37,QuTr_PC019_03_02,38,0,1,0,,194,194,194,194,194,0,2,2019030,0,695,3,2019030,0,695,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
37,QuTr_PC019_04_02,1,10000186,0,0,0,0,0,0,37,QuTr_PC019_04_02,40,0,4,14,,194,194,194,194,194,0,2,2019040,0,697,3,2019040,0,697,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
38,QuTr_PC019_04_03,1,0,0,0,0,0,0,0,37,QuTr_PC019_04_03,41,0,1,0,,194,194,194,194,194,0,2,2019040,0,698,3,2019040,0,698,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
39,QuTr_PC033_04_02,1,0,0,0,0,0,0,0,37,QuTr_PC033_04_02,43,0,1,0,,194,194,194,194,194,0,2,2033040,0,754,3,2033040,0,754,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,QuTr_PC039_03_02,1,0,0,0,0,0,0,0,37,QuTr_PC039_03_02,29,0,1,0,,194,194,194,194,194,0,2,2039030,0,777,3,2039030,0,777,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,QuTr_PC044_04_03,1,0,0,0,0,0,0,0,37,QuTr_PC044_04_03,31,0,1,0,,194,194,194,194,194,0,2,2044040,0,904,3,2044040,0,904,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
32,QuTr_PC052_03_02,1,0,0,0,0,0,0,0,37,QuTr_PC052_03_02,33,0,1,0,,194,194,194,194,194,0,2,2052030,0,828,3,2052030,0,828,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
33,QuTr_PC052_04_02,1,0,0,0,0,0,0,0,37,QuTr_PC052_04_02,34,0,1,0,,194,194,194,194,194,0,2,2052040,0,830,3,2052040,0,830,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
34,QuTr_PC060_04_03,1,10000419,0,0,0,0,0,0,37,QuTr_PC060_04_03,36,0,3,0,,194,194,194,194,194,0,2,2060040,0,861,3,2060040,0,861,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
42,QuTr_PC080_04_02,1,10000653,0,0,0,0,0,0,37,QuTr_PC080_04_02,47,0,1,0,,194,194,194,194,194,0,2,2080040,0,1375,3,2080040,0,1375,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,eSymEnm_FPMo2A1_001,10,0,0,0,4051,0,0,0,37,eSymEnm_FPMo2A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,eSymEnm_FPMo2A1_002,10,0,0,0,4052,0,0,0,37,eSymEnm_FPMo2A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
