m_id,m_MapObjType,m_OwnerChara,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_MapID,m_AppearLabel,m_TalkID,m_AppearDir,m_Priority,m_InputCheck,m_HideChara,m_HideIcon,m_AutoTalk,m_Boss,m_Progress,m_BootQuestID,m_BootQuestStaet,m_BootQuestTaskNum,m_TrigConditionID,m_DisableQuestID,m_DisableQuestState,m_DisableQuestTaskNum,m_NoneConditionID
0,1,1003,0,0,0,0,38,QuTr_PC003_01_02,2,1,10,0,194,194,194,0,0,2003010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
1,1,1003,0,0,0,0,38,QuTr_PC003_01_03,3,1,10,0,194,194,194,0,0,2003010,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
2,1,1003,0,0,0,0,38,QuTr_PC003_02_02,4,1,10,0,194,194,194,0,0,2003020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
3,1,1016,0,0,0,0,38,QuTr_PC016_01_01,5,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2016010,2,0,"[0, 0, 0, 0]"
4,1,1016,0,0,0,0,38,QuTr_PC016_01_02,6,1,10,0,194,194,194,0,0,2016010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
5,1,1016,0,0,0,0,38,QuTr_PC016_02_02,7,1,10,0,194,194,194,0,0,2016020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
6,1,1016,0,0,0,0,38,QuTr_PC016_04_02,8,1,10,0,194,194,194,0,0,2016040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
7,1,1016,0,0,0,0,38,QuTr_PC016_04_03,9,1,10,0,194,194,194,0,0,2016040,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
8,1,1033,0,0,0,0,90051,QuTr_PC033_01_02,10,0,10,0,194,194,194,0,0,2033010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
9,1,1039,0,0,0,0,90051,QuTr_PC039_01_02,11,0,10,0,194,194,194,0,0,2039010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
10,1,1039,0,0,0,0,90051,QuTr_PC039_02_02,12,0,10,0,194,194,194,0,0,2039020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
11,1,1052,0,0,0,0,38,QuTr_PC052_01_02,13,0,10,0,194,194,194,0,0,2052010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
12,1,1052,0,0,0,0,38,QuTr_PC052_02_03,14,0,10,0,194,194,194,0,0,2052020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
13,1,1052,0,0,0,0,38,QuTr_PC052_03_02,15,0,10,0,194,194,194,0,0,2052030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
14,1,1052,0,0,0,0,38,QuTr_PC052_04_02,16,0,10,0,194,194,194,0,0,2052040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
15,1,1060,0,0,0,0,50,QuTr_PC060_02_03,17,1,10,0,194,194,194,0,0,2060020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
16,1,1060,0,0,0,0,50,QuTr_PC060_04_03,18,1,10,0,194,194,194,0,0,2060040,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
