m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
12,QuTr_PC009_03_02,1,0,0,0,0,0,0,0,80,QuTr_PC009_03_02,7,0,1,0,,194,194,194,194,194,0,2,2009030,0,655,3,2009030,0,655,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,QuTr_PC009_03_04,1,0,0,0,0,0,0,0,80,QuTr_PC009_03_04,8,0,1,0,,194,194,194,194,194,0,2,2009030,0,657,3,2009030,0,657,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,QuTr_PC024_02_02,1,0,0,0,0,0,0,0,80,QuTr_PC024_02_02,5,0,1,0,,194,194,194,194,194,0,2,2024020,0,138,3,2024020,0,138,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,QuTr_PC058_03_02,1,0,0,0,0,0,0,0,80,QuTr_PC058_03_02,9,0,1,0,,194,194,194,194,194,0,2,2058030,0,852,3,2058030,0,852,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,QuTr_PC058_04_02,1,0,0,0,0,0,0,0,80,QuTr_PC058_04_02,10,0,1,0,,194,194,194,194,194,0,2,2058040,0,854,3,2058040,0,854,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eSymEnm_FPPl1002A1_001,10,0,0,0,2015,0,0,0,80,eSymEnm_FPPl1002A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eSymEnm_FPPl1002A1_002,10,0,0,0,2016,0,0,0,80,eSymEnm_FPPl1002A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eObj_Guide_FP_Plain_1002_A1_001,8,0,38,0,0,0,0,0,80,eObj_Guide_FP_Plain_1002_A1_001,3,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTreBX_FPPl1002A1_002,6,0,0,2071,0,0,0,0,80,eTreBX_FPPl1002A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTreBX_FPPl1002A1_003,6,0,0,2072,0,0,0,0,80,eTreBX_FPPl1002A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
