m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
71,QuTr_PC004_02_02,1,10000181,0,0,0,0,0,0,73,QuTr_PC004_02_02,81,0,4,37,,194,194,194,194,194,0,2,2004020,0,59,3,2004020,0,59,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
88,QuTr_PC020_02_04,1,0,0,0,0,0,0,0,73,QuTr_PC020_02_04,104,0,1,0,,194,194,194,194,194,0,2,2020020,0,499,3,2020020,0,499,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
89,QuTr_PC020_03_02,1,0,0,0,0,0,0,0,73,QuTr_PC020_03_02,105,0,1,0,,194,194,194,194,194,0,2,2020030,0,605,3,2020030,0,605,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
90,QuTr_PC032_01_02,1,0,0,0,0,0,0,0,73,QuTr_PC032_01_02,106,0,1,0,,194,194,194,194,194,0,2,2032010,0,170,3,2032010,0,170,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
91,QuTr_PC032_03_02,1,0,0,0,0,0,0,0,73,QuTr_PC032_03_02,108,0,1,0,,194,194,194,194,194,0,2,2032030,0,747,3,2032030,0,747,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
79,QuTr_PC036_02_02,1,0,0,0,0,0,0,0,73,QuTr_PC036_02_02,86,0,1,0,,194,194,194,194,194,0,2,2036020,0,510,3,2036020,0,510,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
74,QuTr_PC036_02_03,1,0,0,0,0,0,0,0,73,QuTr_PC036_02_03,87,0,1,0,,194,194,194,194,194,0,2,2036020,0,511,3,2036020,0,511,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
75,QuTr_PC036_03_02,1,0,0,0,0,0,0,0,73,QuTr_PC036_03_02,88,0,1,0,,194,194,194,194,194,0,2,2036030,0,608,3,2036030,0,608,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
76,QuTr_PC036_04_02,1,0,0,0,0,0,0,0,73,QuTr_PC036_04_02,89,0,1,0,,194,194,194,194,194,0,2,2036040,0,611,3,2036040,0,611,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
77,QuTr_PC036_04_03,1,1036,0,0,0,0,0,0,73,QuTr_PC036_04_03,90,0,3,0,,194,194,194,194,194,0,2,2036040,0,763,3,2036040,0,763,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
