m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
28,QuTr_PC002_01_01,1,10000386,0,0,0,0,0,0,22,QuTr_PC002_01_01,28,0,3,14,,194,194,194,194,194,0,1,2002010,0,0,2,2002010,0,50,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,QuTr_PC002_01_02,1,0,0,0,0,0,0,0,22,QuTr_PC002_01_02,29,0,1,0,,194,194,194,194,194,0,2,2002010,0,50,3,2002010,0,50,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,QuTr_PC028_01_02,1,10000436,0,0,0,0,0,0,22,QuTr_PC028_01_02,31,0,1,10,,194,194,194,194,194,0,2,2028010,0,154,3,2028010,0,154,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,QuTr_PC028_03_03,1,0,0,0,0,0,0,0,22,QuTr_PC028_03_03,33,0,1,0,,194,194,194,194,194,0,2,2028030,0,407,3,2028030,0,407,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,QuTr_PC029_01_02,1,0,0,0,0,0,0,0,22,QuTr_PC029_01_02,26,0,1,0,,194,194,194,194,194,0,2,2029010,0,158,3,2029010,0,158,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,QuTr_PC029_02_02,1,0,0,0,0,0,0,0,22,QuTr_PC029_02_02,27,0,1,0,,194,194,194,194,194,0,2,2029020,0,409,3,2029020,0,409,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,QuTr_PC037_03_02,1,0,0,0,0,0,0,0,22,QuTr_PC037_03_02,24,0,1,0,,194,194,194,194,194,0,2,2037030,0,398,3,2037030,0,398,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,QuTr_PC043_01_02,1,0,0,0,0,0,0,0,22,QuTr_PC043_01_02,17,0,1,0,,194,194,194,194,194,0,2,2043010,0,213,3,2043010,0,213,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,QuTr_PC043_02_03,1,0,0,0,0,0,0,0,22,QuTr_PC043_02_03,18,0,1,0,,194,194,194,194,194,0,2,2043020,0,215,3,2043020,0,215,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,eSymEnm_FPSe1A1_001,10,0,0,0,3031,0,0,0,22,eSymEnm_FPSe1A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,eSymEnm_FPSe1A1_002,10,0,0,0,3032,0,0,0,22,eSymEnm_FPSe1A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,eTreBX_FPSe1A1_001,6,0,0,3030,0,0,0,0,22,eTreBX_FPSe1A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,eTreBX_FPSe1A1_002,6,0,0,3031,0,0,0,0,22,eTreBX_FPSe1A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eTreBX_FPSe1A1_003,6,0,0,3032,0,0,0,0,22,eTreBX_FPSe1A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,eTreBX_FPSe1A1_004,6,0,0,3033,0,0,0,0,22,eTreBX_FPSe1A1_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,Lck_SIGNINFO_W_001_SeF11A_v1,9,0,59,0,0,0,0,0,22,Lck_SIGNINFO_W_001_SeF11A,12,0,0,0,Spawn5,194,195,194,194,195,0,0,0,0,0,1,1004050,0,884,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,eObj_Guide_FP_Sea_1001_A1_001,8,0,38,0,0,0,0,0,22,eObj_Guide_FP_Sea_1001_A1_001,15,15,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
35,QuTr_PC070_03_01,1,1070,0,0,0,0,0,0,22,QuTr_PC070_03_01,43,0,4,14,,194,194,194,194,194,0,1,2070030,0,0,2,2070030,0,1520,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
