m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
21,QuTr_PC001_03_02,1,0,0,0,0,0,0,0,59,QuTr_PC001_03_02,25,0,1,0,,194,194,194,194,194,0,2,2001030,0,47,3,2001030,0,47,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,QuTr_PC001_04_04,1,0,0,0,0,0,0,0,59,QuTr_PC001_04_04,27,0,1,0,,194,194,194,194,194,0,2,2001040,0,331,3,2001040,0,331,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,QuTr_PC022_01_02,1,0,0,0,0,0,0,0,59,QuTr_PC022_01_02,28,0,1,0,,194,194,194,194,194,0,2,2022010,0,129,3,2022010,0,129,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,QuTr_PC022_04_05,1,10000091,0,0,0,0,0,0,59,QuTr_PC022_04_05,30,0,2,10,,194,194,194,194,194,0,2,2022040,0,327,3,2022040,0,327,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,QuTr_PC049_03_02,1,0,0,0,0,0,0,0,59,QuTr_PC049_03_02,21,0,1,0,,194,194,194,194,194,0,2,2049030,0,239,3,2049030,0,239,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,QuTr_PC049_04_02,1,0,0,0,0,0,0,0,59,QuTr_PC049_04_02,22,0,1,0,,194,194,194,194,194,0,2,2049040,0,240,3,2049040,0,240,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC049_04_03,1,0,0,0,0,0,0,0,59,QuTr_PC049_04_03,23,0,1,0,,194,194,194,194,194,0,2,2049040,0,925,3,2049040,0,925,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,eSymEnm_FPSn1002A1_001,10,0,0,0,1019,0,0,0,59,eSymEnm_FPSn1002A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,eSymEnm_FPSn1002A1_002,10,0,0,0,1020,0,0,0,59,eSymEnm_FPSn1002A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Lck_Chip_Snow_A_SnF12A,9,0,0,0,0,0,0,0,59,Lck_Chip_Snow_A_SnF12A,99999999,0,0,0,,194,195,195,194,194,0,0,0,0,0,3,1007000,0,1000,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,Tlk_SIGNROAD_001_SnF12A,8,0,57,0,0,0,0,0,59,Tlk_SIGNROAD_001_SnF12A,18,15,0,0,,194,194,194,194,194,0,0,0,0,0,3,1007000,0,1000,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
