m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
11,HardDungeon_Type1_HPMo1009A1_Boss1,10,0,0,0,0,0,2050,7,101,HPMo1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,HardDungeon_Type1_HPMo1009A1_Enemy1,10,0,0,0,0,0,2045,1,101,HPMo1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,HardDungeon_Type1_HPMo1009A1_Enemy2,10,0,0,0,0,0,2046,2,101,HPMo1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,HardDungeon_Type1_HPMo1009A1_Enemy3,10,0,0,0,0,0,2047,3,101,HPMo1009A1_Enemy3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,HardDungeon_Type1_HPMo1009A1_Enemy4,10,0,0,0,0,0,2048,4,101,HPMo1009A1_Enemy4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,HardDungeon_Type1_HPMo1009A1_Enemy5,10,0,0,0,0,0,2049,5,101,HPMo1009A1_Enemy5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
39,HardDungeon_Type1_HPMo1009A1_Enemy6,10,0,0,0,0,0,2052,6,101,HPMo1009A1_Enemy6,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,HardDungeon_Type2_HPMo1009A1_Boss1,10,0,0,0,0,0,2050,7,101,HPMo1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,HardDungeon_Type2_HPMo1009A1_Enemy1,10,0,0,0,0,0,2045,1,101,HPMo1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,HardDungeon_Type2_HPMo1009A1_Enemy2,10,0,0,0,0,0,2046,2,101,HPMo1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70008, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
