m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,no_line_error_dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,HardDungeon_Type1_HPClbBD_5001_B1_Enemy1,10,0,0,0,0,0,3055,1,100131,HPClbBD_5001_B1_Enemy1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,HardDungeon_Type1_HPClbBD_5001_B1_Enemy2,10,0,0,0,0,0,3056,2,100131,HPClbBD_5001_B1_Enemy2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,HardDungeon_Type1_HPClbBD_5001_B1_Enemy3,10,0,0,0,0,0,3057,3,100131,HPClbBD_5001_B1_Enemy3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,HardDungeon_Type1_HPClbBD_5001_B1_Enemy4,10,0,0,0,0,0,3058,4,100131,HPClbBD_5001_B1_Enemy4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,HardDungeon_Type1_HPClbBD_5001_B1_Enemy5,10,0,0,0,0,0,3059,5,100131,HPClbBD_5001_B1_Enemy5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,HardDungeon_Type1_HPClbBD_5001_B1_Enemy6,10,0,0,0,0,0,3060,6,100131,HPClbBD_5001_B1_Enemy6,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Heal_OtH5001B1_001,5,0,0,0,0,34,0,0,100131,Heal_OtH5001B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,HardDungeon_Type1_HPClbBD_5001_B1_Treasure1,6,0,0,0,0,0,3055,1,100131,HPClbBD_5001_B1_Treasure1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,HardDungeon_Type1_HPClbBD_5001_B1_Treasure2,6,0,0,0,0,0,3056,2,100131,HPClbBD_5001_B1_Treasure2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,HardDungeon_Type1_HPClbBD_5001_B1_Treasure3,6,0,0,0,0,0,3057,3,100131,HPClbBD_5001_B1_Treasure3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
