m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
13,HardDungeon_Type1_HPPl1009A1_Boss1,10,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
1,HardDungeon_Type1_HPPl1009A1_Enemy1,10,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
3,HardDungeon_Type1_HPPl1009A1_Enemy2,10,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
5,HardDungeon_Type1_HPPl1009A1_Enemy3,10,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Enemy3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
7,HardDungeon_Type1_HPPl1009A1_Enemy4,10,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Enemy4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
9,HardDungeon_Type1_HPPl1009A1_Enemy5,10,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Enemy5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
11,HardDungeon_Type1_HPPl1009A1_Enemy6,10,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Enemy6,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
27,HardDungeon_Type2_HPPl1009A1_Boss1,10,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
15,HardDungeon_Type2_HPPl1009A1_Enemy1,10,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
17,HardDungeon_Type2_HPPl1009A1_Enemy2,10,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
