m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,SymEnm_ThH11A_Dummy9S,10,0,0,0,50247,0,0,0,100243,SymEnm_ThH11A_Dummy9S,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_ThH11A_001,10,0,0,0,0,0,3083,1,100243,SymEnm_ThH11A_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_ThH11A_002,10,0,0,0,0,0,3084,2,100243,SymEnm_ThH11A_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_ThH11A_003,10,0,0,0,0,0,3085,3,100243,SymEnm_ThH11A_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_ThH11A_004,10,0,0,0,0,0,3086,4,100243,SymEnm_ThH11A_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,TreBx_ThH11A_001,6,0,0,0,0,0,3083,1,100243,TreBx_ThH11A_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,TreBx_ThH11A_002,6,0,0,0,0,0,3084,2,100243,TreBx_ThH11A_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,TreBx_ThH11A_003,6,0,0,0,0,0,3085,3,100243,TreBx_ThH11A_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,TreBx_ThH11A_004,6,0,0,0,0,0,3086,4,100243,TreBx_ThH11A_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_NPC_THE_Jump01,9,0,0,0,0,0,0,0,100243,Tlk_THE_Jump01_ThH11A,2,0,0,0,Spawn2,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
