m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,SymEnm_ThH11B_Dummy9S,10,0,0,0,50247,0,0,0,100244,SymEnm_ThH11B_Dummy9S,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_ThH11B_001,10,0,0,0,0,0,3092,1,100244,SymEnm_ThH11B_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_ThH11B_002,10,0,0,0,0,0,3087,2,100244,SymEnm_ThH11B_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_ThH11B_003,10,0,0,0,0,0,3088,3,100244,SymEnm_ThH11B_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_ThH11B_004,10,0,0,0,0,0,3089,4,100244,SymEnm_ThH11B_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,SymEnm_ThH11B_005,10,0,0,0,0,0,3091,5,100244,SymEnm_ThH11B_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,SymEnm_ThH11B_006,10,0,0,0,0,0,3090,6,100244,SymEnm_ThH11B_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,SymEnm_ThH11B_007,10,0,0,0,0,0,3115,7,100244,SymEnm_ThH11B_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,TreBx_ThH11B_001,6,0,0,0,0,0,3092,1,100244,TreBx_ThH11B_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,TreBx_ThH11B_002,6,0,0,0,0,0,3087,2,100244,TreBx_ThH11B_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,TreBx_ThH11B_003,6,0,0,0,0,0,3088,3,100244,TreBx_ThH11B_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,TreBx_ThH11B_004,6,0,0,0,0,0,3089,4,100244,TreBx_ThH11B_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,TreBx_ThH11B_005,6,0,0,0,0,0,3090,6,100244,TreBx_ThH11B_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,TreBx_ThH11B_006,6,0,0,0,0,0,3115,7,100244,TreBx_ThH11B_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,TreBx_ThH11B_007,6,0,0,0,0,0,3091,5,100244,TreBx_ThH11B_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Tlk_NPC_THE_Jump02,9,0,0,0,0,0,0,0,100244,Tlk_THE_Jump02_ThH11B,2,0,0,0,Spawn2,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
