m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,SymEnm_ThH11C_Dummy9S,10,0,0,0,50247,0,0,0,100245,SymEnm_ThH11C_Dummy9S,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_ThH11C_001,10,0,0,0,0,0,3099,1,100245,SymEnm_ThH11C_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_ThH11C_002,10,0,0,0,0,0,3093,2,100245,SymEnm_ThH11C_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_ThH11C_003,10,0,0,0,0,0,3094,3,100245,SymEnm_ThH11C_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_ThH11C_004,10,0,0,0,0,0,3095,4,100245,SymEnm_ThH11C_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,SymEnm_ThH11C_005,10,0,0,0,0,0,3096,5,100245,SymEnm_ThH11C_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,SymEnm_ThH11C_006,10,0,0,0,0,0,3098,9,100245,SymEnm_ThH11C_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,SymEnm_ThH11C_007,10,0,0,0,0,0,3097,6,100245,SymEnm_ThH11C_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,SymEnm_ThH11C_008,10,0,0,0,0,0,3108,7,100245,SymEnm_ThH11C_008,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,SymEnm_ThH11C_009,10,0,0,0,0,0,3109,8,100245,SymEnm_ThH11C_009,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,TreBx_ThH11C_001,6,0,0,0,0,0,3099,1,100245,TreBx_ThH11C_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,TreBx_ThH11C_002,6,0,0,0,0,0,3093,2,100245,TreBx_ThH11C_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,TreBx_ThH11C_003,6,0,0,0,0,0,3094,3,100245,TreBx_ThH11C_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,TreBx_ThH11C_004,6,0,0,0,0,0,3095,4,100245,TreBx_ThH11C_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,TreBx_ThH11C_005,6,0,0,0,0,0,3096,5,100245,TreBx_ThH11C_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,TreBx_ThH11C_006,6,0,0,0,0,0,3097,6,100245,TreBx_ThH11C_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,TreBx_ThH11C_007,6,0,0,0,0,0,3108,7,100245,TreBx_ThH11C_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,TreBx_ThH11C_008,6,0,0,0,0,0,3109,8,100245,TreBx_ThH11C_008,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,TreBx_ThH11C_009,6,0,0,0,0,0,3098,9,100245,TreBx_ThH11C_009,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,Tlk_NPC_THE_Jump03,9,0,0,0,0,0,0,0,100245,Tlk_THE_Jump03_ThH11C,2,0,0,0,Spawn2,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
