m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,SymEnm_ThH11D_Dummy9S,10,0,0,0,50247,0,0,0,100248,SymEnm_ThH11D_Dummy9S,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_ThH11D_001,10,0,0,0,0,0,3107,1,100248,SymEnm_ThH11D_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_ThH11D_002,10,0,0,0,0,0,3100,2,100248,SymEnm_ThH11D_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_ThH11D_003,10,0,0,0,0,0,3101,3,100248,SymEnm_ThH11D_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_ThH11D_004,10,0,0,0,0,0,3102,4,100248,SymEnm_ThH11D_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,SymEnm_ThH11D_005,10,0,0,0,0,0,3103,5,100248,SymEnm_ThH11D_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,SymEnm_ThH11D_006,10,0,0,0,0,0,3104,6,100248,SymEnm_ThH11D_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,SymEnm_ThH11D_007,10,0,0,0,0,0,3106,13,100248,SymEnm_ThH11D_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,SymEnm_ThH11D_008,10,0,0,0,0,0,3105,7,100248,SymEnm_ThH11D_008,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,SymEnm_ThH11D_009,10,0,0,0,0,0,3110,8,100248,SymEnm_ThH11D_009,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,SymEnm_ThH11D_010,10,0,0,0,0,0,3111,9,100248,SymEnm_ThH11D_010,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,SymEnm_ThH11D_011,10,0,0,0,0,0,3112,10,100248,SymEnm_ThH11D_011,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,SymEnm_ThH11D_012,10,0,0,0,0,0,3113,11,100248,SymEnm_ThH11D_012,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,SymEnm_ThH11D_013,10,0,0,0,0,0,3114,12,100248,SymEnm_ThH11D_013,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,TreBx_ThH11D_001,6,0,0,0,0,0,3107,1,100248,TreBx_ThH11D_001,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,TreBx_ThH11D_002,6,0,0,0,0,0,3100,2,100248,TreBx_ThH11D_002,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,TreBx_ThH11D_003,6,0,0,0,0,0,3101,3,100248,TreBx_ThH11D_003,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,TreBx_ThH11D_004,6,0,0,0,0,0,3105,7,100248,TreBx_ThH11D_004,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,TreBx_ThH11D_005,6,0,0,0,0,0,3110,8,100248,TreBx_ThH11D_005,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,TreBx_ThH11D_006,6,0,0,0,0,0,3111,9,100248,TreBx_ThH11D_006,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,TreBx_ThH11D_007,6,0,0,0,0,0,3112,10,100248,TreBx_ThH11D_007,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,TreBx_ThH11D_008,6,0,0,0,0,0,3102,4,100248,TreBx_ThH11D_008,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,TreBx_ThH11D_009,6,0,0,0,0,0,3113,11,100248,TreBx_ThH11D_009,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,TreBx_ThH11D_010,6,0,0,0,0,0,3104,6,100248,TreBx_ThH11D_010,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,TreBx_ThH11D_011,6,0,0,0,0,0,3114,12,100248,TreBx_ThH11D_011,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,TreBx_ThH11D_012,6,0,0,0,0,0,3103,5,100248,TreBx_ThH11D_012,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,TreBx_ThH11D_013,6,0,0,0,0,0,3106,13,100248,TreBx_ThH11D_013,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,Tlk_NPC_THE_Jump04,9,0,0,0,0,0,0,0,100248,Tlk_THE_Jump04_ThH11D,2,0,0,0,Spawn2,194,195,195,194,195,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,Tlk_NPC_THE_Jump04_Icon,19,0,0,0,0,0,0,0,100248,Tlk_THE_Jump04_Icon_ThH11D,99999999,0,0,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
