m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
418,eTALK_B04S_9_0_EVENT,1,0,0,0,0,0,0,0,2,B04S_9_0_EVENT,394,0,0,0,,195,195,194,194,195,0,3,1004080,0,0,0,0,0,0,"[0, 0, 0, 0]","[3814, 0, 0, 0]",194,0,194
392,EvTr_HDStart_ClT11A_v1,1,0,0,0,0,0,0,0,2,EvTr_HDStart_ClT11A,363,0,0,0,,195,195,194,194,195,0,3,1004000,0,986,0,0,0,0,"[0, 0, 0, 0]","[30093, 0, 0, 0]",194,0,194
264,QuTr_PC008_01_01,1,1008,0,0,0,0,0,0,2,QuTr_PC008_01_01,316,0,4,0,,194,194,194,194,194,0,1,2008010,0,0,2,2008010,0,74,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
265,QuTr_PC008_01_02,1,10000393,0,0,0,0,0,0,2,QuTr_PC008_01_02,317,0,4,0,,194,194,194,194,194,0,2,2008010,0,74,3,2008010,0,74,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
266,QuTr_PC008_02_01,1,1008,0,0,0,0,0,0,2,QuTr_PC008_02_01,318,0,3,0,,194,194,194,194,194,0,1,2008020,0,0,2,2008020,0,76,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
267,QuTr_PC008_02_02,1,0,0,0,0,0,0,0,2,QuTr_PC008_02_02,319,0,1,0,,194,194,194,194,194,0,2,2008020,0,76,3,2008020,0,76,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
268,QuTr_PC008_02_03,1,10000394,0,0,0,0,0,0,2,QuTr_PC008_02_03,320,0,4,0,,194,194,194,194,194,0,2,2008020,0,423,3,2008020,0,423,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
269,QuTr_PC008_03_01,1,1008,0,0,0,0,0,0,2,QuTr_PC008_03_01,321,0,3,0,,194,194,194,194,194,0,1,2008030,0,0,2,2008030,0,651,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
270,QuTr_PC008_03_02,1,10000393,0,0,0,0,0,0,2,QuTr_PC008_03_02,322,0,4,0,,194,194,194,194,194,0,2,2008030,0,651,3,2008030,0,651,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
271,QuTr_PC008_04_01,1,1008,0,0,0,0,0,0,2,QuTr_PC008_04_01,324,0,3,0,,194,194,194,194,194,0,1,2008040,0,0,2,2008040,0,653,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
272,QuTr_PC008_04_03,1,10000394,0,0,0,0,0,0,2,QuTr_PC008_04_03,325,0,1,0,,194,194,194,194,194,0,2,2008040,0,654,3,2008040,0,654,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
376,QuTr_PC013_01_01,1,1013,0,0,0,0,0,0,2,QuTr_PC013_01_01,350,0,4,14,,194,194,194,194,194,0,1,2013010,0,0,2,2013010,0,94,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
377,QuTr_PC013_01_03,1,0,0,0,0,0,0,0,2,QuTr_PC013_01_03,351,0,1,0,,194,194,194,194,194,0,2,2013010,0,95,3,2013010,0,95,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
378,QuTr_PC013_02_01,1,1013,0,0,0,0,0,0,2,QuTr_PC013_02_01,352,0,4,0,,194,194,194,194,194,0,1,2013020,0,0,2,2013020,0,426,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
379,QuTr_PC013_03_01,1,1013,0,0,0,0,0,0,2,QuTr_PC013_03_01,353,0,4,14,,194,194,194,194,194,0,1,2013030,0,0,2,2013030,0,673,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
380,QuTr_PC013_04_01,1,1013,0,0,0,0,0,0,2,QuTr_PC013_04_01,354,0,4,10,,194,194,194,194,194,0,1,2013040,0,0,2,2013040,0,891,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
384,QuTr_PC021_01_01,1,1021,0,0,0,0,0,0,2,QuTr_PC021_01_01,355,0,3,0,,194,194,194,194,194,0,1,2021010,0,0,2,2021010,0,126,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
385,QuTr_PC021_02_01,1,1021,0,0,0,0,0,0,2,QuTr_PC021_02_01,356,0,3,0,,194,194,194,194,194,0,1,2021020,0,0,2,2021020,0,128,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
386,QuTr_PC021_02_02,1,10000187,0,0,0,0,0,0,2,QuTr_PC021_02_02,357,0,1,0,,194,194,194,194,194,0,2,2021020,0,128,3,2021020,0,128,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
387,QuTr_PC021_02_04,1,10000187,0,0,0,0,0,0,2,QuTr_PC021_02_04,358,0,1,0,,194,194,194,194,194,0,2,2021020,0,428,3,2021020,0,428,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
388,QuTr_PC021_03_01,1,1021,0,0,0,0,0,0,2,QuTr_PC021_03_01,359,0,3,0,,194,194,194,194,194,0,1,2021030,0,0,2,2021030,0,430,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
389,QuTr_PC021_03_03,1,10000188,0,0,0,0,0,0,2,QuTr_PC021_03_03,360,0,2,0,,194,194,194,194,194,0,2,2021030,0,703,3,2021030,0,703,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
390,QuTr_PC021_04_01,1,1021,0,0,0,0,0,0,2,QuTr_PC021_04_01,361,0,3,0,,194,194,194,194,194,0,1,2021040,0,0,2,2021040,0,705,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
391,QuTr_PC021_04_03,1,10000188,0,0,0,0,0,0,2,QuTr_PC021_04_03,362,0,2,0,,194,194,194,194,194,0,2,2021040,0,706,3,2021040,0,706,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
158,QuTr_PC025_01_01,1,0,0,0,0,0,0,0,2,QuTr_PC025_01_01,163,0,1,0,,194,194,194,194,194,0,1,2025010,0,0,2,2025010,0,141,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
159,QuTr_PC025_01_03,1,0,0,0,0,0,0,0,2,QuTr_PC025_01_03,164,0,1,0,,194,194,194,194,194,0,2,2025010,0,142,3,2025010,0,142,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
