m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
97,QuTr_PC008_04_02,1,10000395,0,0,0,0,0,0,3,QuTr_PC008_04_02,137,0,4,0,,194,194,194,194,194,0,2,2008040,0,653,3,2008040,0,653,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
127,QuTr_PC013_01_02,1,0,0,0,0,0,0,0,3,QuTr_PC013_01_02,143,0,1,0,,194,194,194,194,194,0,2,2013010,0,94,3,2013010,0,94,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
128,QuTr_PC013_02_02,1,10000421,0,0,0,0,0,0,3,QuTr_PC013_02_02,144,0,3,0,,194,194,194,194,194,0,2,2013020,0,426,3,2013020,0,426,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
129,QuTr_PC013_02_03,1,10000422,0,0,0,0,0,0,3,QuTr_PC013_02_03,145,0,4,0,,194,194,194,194,194,0,2,2013020,0,671,3,2013020,0,671,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
130,QuTr_PC013_03_02,1,10000420,0,0,0,0,0,0,3,QuTr_PC013_03_02,146,0,4,38,,194,194,194,194,194,0,2,2013030,0,673,3,2013030,0,673,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
131,QuTr_PC013_04_02,1,0,0,0,0,0,0,0,3,QuTr_PC013_04_02,147,0,1,0,,194,194,194,194,194,0,2,2013040,0,891,3,2013040,0,891,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
132,QuTr_PC021_03_02,1,10000423,0,0,0,0,0,0,3,QuTr_PC021_03_02,148,0,3,0,,194,194,194,194,194,0,2,2021030,0,430,3,2021030,0,430,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
38,QuTr_PC025_01_02,1,0,0,0,0,0,0,0,3,QuTr_PC025_01_02,48,0,1,0,,194,194,194,194,194,0,2,2025010,0,141,3,2025010,0,141,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
39,QuTr_PC025_02_02,1,0,0,0,0,0,0,0,3,QuTr_PC025_02_02,49,0,1,0,,194,194,194,194,194,0,2,2025020,0,143,3,2025020,0,143,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
40,QuTr_PC026_01_03,1,0,0,0,0,0,0,0,3,QuTr_PC026_01_03,51,0,1,1,,194,194,194,194,194,0,2,2026010,0,907,3,2026010,0,907,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
41,QuTr_PC026_02_02,1,10000314,0,0,0,0,0,0,3,QuTr_PC026_02_02,52,0,3,1,,194,194,194,194,194,0,2,2026020,0,909,3,2026020,0,909,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
42,QuTr_PC026_03_02,1,10000314,0,0,0,0,0,0,3,QuTr_PC026_03_02,53,0,3,14,,194,194,194,194,194,0,2,2026030,0,912,3,2026030,0,912,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
122,QuTr_PC056_01_01,1,1056,0,0,0,0,0,0,3,QuTr_PC056_01_01,138,0,4,0,,194,194,194,194,194,0,1,2056010,0,0,2,2056010,0,266,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
123,QuTr_PC056_02_01,1,1056,0,0,0,0,0,0,3,QuTr_PC056_02_01,139,0,3,0,,194,194,194,194,194,0,1,2056020,0,0,2,2056020,0,268,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
124,QuTr_PC056_03_01,1,1056,0,0,0,0,0,0,3,QuTr_PC056_03_01,140,0,3,0,,194,194,194,194,194,0,1,2056030,0,0,2,2056030,0,843,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
125,QuTr_PC056_04_01,1,1056,0,0,0,0,0,0,3,QuTr_PC056_04_01,141,0,3,0,,194,194,194,194,194,0,1,2056040,0,0,2,2056040,0,845,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
133,QuTr_PC067_01_03,1,0,0,0,0,0,0,0,3,QuTr_PC067_01_03,149,0,1,0,,194,194,194,194,194,0,2,2067010,0,1125,3,2067010,0,1125,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
134,QuTr_PC067_03_01,1,0,0,0,0,0,0,0,3,QuTr_PC067_03_01,150,0,1,0,,194,194,194,194,194,0,1,2067030,0,0,2,2067030,0,1131,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
135,QuTr_PC067_03_03,1,0,0,0,0,0,0,0,3,QuTr_PC067_03_03,151,0,1,0,,194,194,194,194,194,0,2,2067030,0,1132,3,2067030,0,1132,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
136,QuTr_PC067_04_01,1,10000546,0,0,0,0,0,0,3,QuTr_PC067_04_01,152,0,2,1,,194,194,194,194,194,0,1,2067040,0,0,2,2067040,0,1134,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
137,QuTr_PC067_04_03,1,10000546,0,0,0,0,0,0,3,QuTr_PC067_04_03,153,0,2,1,,194,194,194,194,194,0,2,2067040,0,1135,3,2067040,0,1135,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
138,QuTr_PC067_04_03_NPC,1,5155,0,0,0,0,0,0,3,QuTr_PC067_NPC,99999999,0,3,41,,194,194,194,194,194,0,1,2067040,0,0,3,2067040,0,1135,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
59,TreKP_ClT11B_003,6,0,0,7164,0,0,0,0,3,TreKP_ClT11B_003,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[94041, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
33,eTreBX_TPCl1B1_001,6,0,0,7120,0,0,0,0,3,eTreBX_TPCl1B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
