m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,DsT21A_Dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B05S_2_2,1,0,0,0,0,0,0,0,10014,B05S_2_2,1,0,0,0,,195,194,194,194,195,0,2,1005020,0,1200,3,1005020,0,1200,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,eTreBX_DsT21A_001,6,0,0,10122,0,0,0,0,10014,eTreBX_DsT21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,eTreBX_DsT21A_002,6,0,0,10123,0,0,0,0,10014,eTreBX_DsT21A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,eTreBX_DsT21A_003,6,0,0,10124,0,0,0,0,10014,eTreBX_DsT21A_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
47,Tlk_DsT21_W001_inn_DsT21A_v1,2,10000871,0,0,0,0,0,0,10014,Tlk_DsT21_W001_inn_DsT21A,45,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
48,Tlk_DsT21_P001_smith_DsT21A_v1_1,3,10000870,0,0,0,0,0,0,10014,Tlk_DsT21_P001_smith_DsT21A,46,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
49,Tlk_DsT21_F001_bar_DsT21A_v1,4,10000869,0,0,0,0,0,0,10014,Tlk_DsT21_F001_bar_DsT21A,47,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Tlk_DsT21_W002_DsT21A_v1_1,1,10000853,0,0,0,0,0,0,10014,Tlk_DsT21_W002_DsT21A,21,0,3,0,,194,194,194,194,194,0,0,0,0,0,3,1005020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
72,Tlk_DsT21_W002_DsT21A_v2_1,1,10000853,0,0,0,0,0,0,10014,Tlk_DsT21_W002_DsT21A,72,0,3,0,,194,194,194,194,194,0,3,1005020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,Tlk_DsT21_W003_DsT21A_v1_1,1,10000854,0,0,0,0,0,0,10014,Tlk_DsT21_W003_DsT21A,22,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,Tlk_DsT21_W004_DsT21A_v1_1,1,10000855,0,0,0,0,0,0,10014,Tlk_DsT21_W004_DsT21A,23,0,3,0,,194,194,194,194,194,0,0,0,0,0,3,1005020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
73,Tlk_DsT21_W004_DsT21A_v2_1,1,10000855,0,0,0,0,0,0,10014,Tlk_DsT21_W004_DsT21A,77,0,3,0,,194,194,194,194,194,0,3,1005020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,Tlk_DsT21_W005_DsT21A_v1_1,1,10000856,0,0,0,0,0,0,10014,Tlk_DsT21_W005_DsT21A,24,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,Tlk_DsT21_W006_DsT21A_v1_1,1,10000857,0,0,0,0,0,0,10014,Tlk_DsT21_W006_DsT21A,25,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
