m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
235,QuTr_PC005_01_01,1,1005,0,0,0,0,0,0,46,QuTr_PC005_01_01,267,0,3,0,,194,194,194,194,194,0,1,2005010,0,0,2,2005010,0,62,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
236,QuTr_PC005_01_03,1,10000155,0,0,0,0,0,0,46,QuTr_PC005_01_03,268,0,4,0,,194,194,194,194,194,0,2,2005010,0,63,3,2005010,0,63,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
237,QuTr_PC005_02_02,1,0,0,0,0,0,0,0,46,QuTr_PC005_02_02,269,0,1,0,,194,194,194,194,194,0,2,2005020,0,343,3,2005020,0,343,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
238,QuTr_PC005_02_04,1,0,0,0,0,0,0,0,46,QuTr_PC005_02_04,270,0,1,0,,194,194,194,194,194,0,2,2005020,0,345,3,2005020,0,345,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
239,QuTr_PC005_03_01,1,1005,0,0,0,0,0,0,46,QuTr_PC005_03_01,271,0,1,0,,194,194,194,194,194,0,1,2005030,0,0,2,2005030,0,347,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
240,QuTr_PC005_03_03,1,10000158,0,0,0,0,0,0,46,QuTr_PC005_03_03,272,0,1,0,,194,194,194,194,194,0,2,2005030,0,639,3,2005030,0,639,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
241,QuTr_PC005_04_02,1,10000156,0,0,0,0,0,0,46,QuTr_PC005_04_02,273,0,4,0,,194,194,194,194,194,0,2,2005040,0,641,3,2005040,0,641,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
193,QuTr_PC012_03_01,1,1012,0,0,0,0,0,0,46,QuTr_PC012_03_01,265,0,3,0,,194,194,194,194,194,0,1,2012030,0,0,2,2012030,0,92,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
194,QuTr_PC012_04_01,1,1012,0,0,0,0,0,0,46,QuTr_PC012_04_01,266,0,3,0,,194,194,194,194,194,0,1,2012040,0,0,2,2012040,0,351,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
157,QuTr_PC014_01_01,1,1014,0,0,0,0,0,0,46,QuTr_PC014_01_01,233,0,3,0,,194,194,194,194,194,0,1,2014010,0,0,2,2014010,0,97,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
158,QuTr_PC014_02_01,1,1014,0,0,0,0,0,0,46,QuTr_PC014_02_01,234,0,3,0,,194,194,194,194,194,0,1,2014020,0,0,2,2014020,0,98,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
159,QuTr_PC014_02_02,1,10000147,0,0,0,0,0,0,46,QuTr_PC014_02_02,235,0,1,0,,194,194,194,194,194,0,2,2014020,0,98,3,2014020,0,98,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
160,QuTr_PC014_03_01,1,1014,0,0,0,0,0,0,46,QuTr_PC014_03_01,237,0,3,0,,194,194,194,194,194,0,1,2014030,0,0,2,2014030,0,99,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
161,QuTr_PC014_03_03,1,10000146,0,0,0,0,0,0,46,QuTr_PC014_03_03,238,0,3,0,,194,194,194,194,194,0,2,2014030,0,100,3,2014030,0,100,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
162,QuTr_PC014_04_01,1,1014,0,0,0,0,0,0,46,QuTr_PC014_04_01,239,0,2,0,,194,194,194,194,194,0,1,2014040,0,0,2,2014040,0,352,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
203,QuTr_PC023_01_01,1,1023,0,0,0,0,0,0,46,QuTr_PC023_01_01,274,0,3,14,,194,194,194,194,194,0,1,2023010,0,0,2,2023010,0,975,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
204,QuTr_PC023_01_03,1,10000327,0,0,0,0,0,0,46,QuTr_PC023_01_03,275,0,1,1,,194,194,194,194,194,0,2,2023010,0,976,3,2023010,0,976,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
205,QuTr_PC023_02_01,1,0,0,0,0,0,0,0,46,QuTr_PC023_02_01,276,0,1,0,,194,194,194,194,194,0,1,2023020,0,0,2,2023020,0,978,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
206,QuTr_PC023_03_04,1,0,0,0,0,0,0,0,46,QuTr_PC023_03_04,277,0,1,0,,194,194,194,194,194,0,2,2023030,0,982,3,2023030,0,982,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
207,QuTr_PC023_04_01,1,10000328,0,0,0,0,0,0,46,QuTr_PC023_04_01,278,0,3,1,,194,194,194,194,194,0,1,2023040,0,0,2,2023040,0,984,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
208,QuTr_PC023_04_03,1,10000328,0,0,0,0,0,0,46,QuTr_PC023_04_03,279,0,3,1,,194,194,194,194,194,0,2,2023040,0,985,3,2023040,0,985,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
163,QuTr_PC031_02_01,1,1031,0,0,0,0,0,0,46,QuTr_PC031_02_01,240,0,3,0,,194,194,194,194,194,0,1,2031020,0,0,2,2031020,0,166,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
164,QuTr_PC031_02_02,1,0,0,0,0,0,0,0,46,QuTr_PC031_02_02,241,0,1,0,,194,194,194,194,194,0,2,2031020,0,166,3,2031020,0,166,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
165,QuTr_PC031_03_01,1,1031,0,0,0,0,0,0,46,QuTr_PC031_03_01,242,0,3,0,,194,194,194,194,194,0,1,2031030,0,0,2,2031030,0,167,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
166,QuTr_PC031_04_01,1,10000151,0,0,0,0,0,0,46,QuTr_PC031_04_01,243,0,3,0,,194,194,194,194,194,0,1,2031040,0,0,2,2031040,0,168,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
167,QuTr_PC031_04_02,1,10000153,0,0,0,0,0,0,46,QuTr_PC031_04_02,244,0,1,0,,194,194,194,194,194,0,2,2031040,0,168,3,2031040,0,168,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
