m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
150,QuTr_PC005_02_01,1,1005,0,0,0,0,0,0,47,QuTr_PC005_02_01,127,0,1,0,,194,194,194,194,194,0,1,2005020,0,0,2,2005020,0,343,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
151,QuTr_PC005_04_01,1,1005,0,0,0,0,0,0,47,QuTr_PC005_04_01,128,0,1,10,,194,194,194,194,194,0,1,2005040,0,0,2,2005040,0,641,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
124,QuTr_PC012_02_02,1,10000256,0,0,0,0,0,0,47,QuTr_PC012_02_02,125,0,4,0,,194,194,194,194,194,0,2,2012020,0,90,3,2012020,0,90,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
125,QuTr_PC012_03_03,1,10000257,0,0,0,0,0,0,47,QuTr_PC012_03_03,126,0,4,0,,194,194,194,194,194,0,2,2012030,0,349,3,2012030,0,349,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
106,QuTr_PC047_01_01,1,1047,0,0,0,0,0,0,47,QuTr_PC047_01_01,110,0,3,10,,194,194,194,194,194,0,1,2047010,0,0,2,2047010,0,229,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
107,QuTr_PC047_02_01,1,1047,0,0,0,0,0,0,47,QuTr_PC047_02_01,111,0,3,0,,194,194,194,194,194,0,1,2047020,0,0,2,2047020,0,230,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
108,QuTr_PC047_03_01,1,1047,0,0,0,0,0,0,47,QuTr_PC047_03_01,112,0,3,0,,194,194,194,194,194,0,1,2047030,0,0,2,2047030,0,810,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
109,QuTr_PC047_04_01,1,1047,0,0,0,0,0,0,47,QuTr_PC047_04_01,113,0,3,0,,194,194,194,194,194,0,1,2047040,0,0,2,2047040,0,358,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
144,QuTr_PC048_01_02,1,10000405,0,0,0,0,0,0,47,QuTr_PC048_01_02,163,0,3,0,,194,194,194,194,194,0,2,2048010,0,234,3,2048010,0,234,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
145,QuTr_PC048_02_02,1,10000405,0,0,0,0,0,0,47,QuTr_PC048_02_02,164,0,3,0,,194,194,194,194,194,0,2,2048020,0,236,3,2048020,0,236,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
146,QuTr_PC048_03_02,1,10000405,0,0,0,0,0,0,47,QuTr_PC048_03_02,165,0,1,0,,194,194,194,194,194,0,2,2048030,0,361,3,2048030,0,361,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
147,QuTr_PC048_04_02,1,10000405,0,0,0,0,0,0,47,QuTr_PC048_04_02,166,0,3,10,,194,194,194,194,194,0,2,2048040,0,812,3,2048040,0,812,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
148,QuTr_PC048_04_04,1,10000405,0,0,0,0,0,0,47,QuTr_PC048_04_04,167,0,4,0,,194,194,194,194,194,0,2,2048040,0,814,3,2048040,0,814,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
