m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
99999,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
0,eTALK_B05S_1_1,9,0,0,0,0,0,0,0,10003,B05S_1_1,0,0,1,0,Fst_T_2C1_01,194,195,194,194,195,0,2,1005010,0,1026,3,1005010,0,1026,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B05S_1_2,1,0,0,0,0,0,0,0,10003,B05S_1_2,1,0,1,0,,195,195,194,194,195,0,2,1005010,0,1027,3,1005010,0,1027,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B05S_1_4_NPC02,1,5220,0,0,0,0,0,0,10003,B05S_1_4_NPC02,99999999,0,4,37,,194,194,194,194,194,0,0,0,0,0,3,1005010,0,1029,"[4001, 4002, 4003, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B05S_1_4_Rosso,1,1219,0,0,0,0,0,0,10003,B05S_1_4_Rosso,3,14,3,0,,194,194,194,194,194,0,0,0,0,0,3,1005010,0,1030,"[4001, 4002, 4003, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_FsT21_W009_FsT21C_v1_1,1,10000499,0,0,0,0,0,0,10003,Tlk_FsT21_W009_FsT21C,6,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_FsT21_W010_FsT21C_v1_1,1,10000500,0,0,0,0,0,0,10003,Tlk_FsT21_W010_FsT21C,9,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_FsT21_W011_FsT21C_v1_1,1,10000501,0,0,0,0,0,0,10003,Tlk_FsT21_W011_FsT21C,10,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_FsT21_W012_FsT21C_v1_1,1,10000502,0,0,0,0,0,0,10003,Tlk_FsT21_W012_FsT21C,11,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_FsT21_W013_FsT21C_v1_1,1,10000503,0,0,0,0,0,0,10003,Tlk_FsT21_W013_FsT21C,12,0,4,0,,194,194,194,194,194,0,3,1005010,0,1071,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
