m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,QuTr_PC080_01_01,1,10000653,0,0,0,0,0,0,10004,QuTr_PC080_01_01,8,0,1,0,,194,194,194,194,194,0,1,2080010,0,0,2,2080010,0,1367,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,QuTr_PC080_01_04,1,10000653,0,0,0,0,0,0,10004,QuTr_PC080_01_04,9,0,1,0,,194,194,194,194,194,0,2,2080010,0,1369,3,2080010,0,1369,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,QuTr_PC080_02_01,1,10000653,0,0,0,0,0,0,10004,QuTr_PC080_02_01,10,0,1,0,,194,194,194,194,194,0,1,2080020,0,0,2,2080020,0,1371,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,QuTr_PC080_03_01,1,1080,0,0,0,0,0,0,10004,QuTr_PC080_03_01,11,0,3,0,,194,194,194,194,194,0,1,2080030,0,0,2,2080030,0,1373,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,QuTr_PC080_04_04,1,10000653,0,0,0,0,0,0,10004,QuTr_PC080_04_04,12,0,1,0,,194,194,194,194,194,0,2,2080040,0,1377,3,2080040,0,1377,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC113_01_04,1,10000653,0,0,0,0,0,0,10004,QuTr_PC113_01_04,23,0,1,0,,194,194,194,194,194,0,2,2113010,0,1318,3,2113010,0,1318,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,QuTr_PC113_03_03,1,10000653,0,0,0,0,0,0,10004,QuTr_PC113_03_03,24,0,1,0,,194,194,194,194,194,0,2,2113030,0,1323,3,2113030,0,1323,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,QuTr_PC113_04_03,1,10000653,0,0,0,0,0,0,10004,QuTr_PC113_04_03,25,0,1,0,,194,194,194,194,194,0,2,2113040,0,1327,3,2113040,0,1327,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B05S_1_7,1,5097,0,0,0,0,0,0,10004,B05S_1_7,0,0,3,0,,194,195,194,194,195,0,2,1005010,0,1032,3,1005010,0,1032,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Lck_Lock001_FsT21D,9,0,0,0,0,0,0,0,10004,Lck_Lock001_FsT21D,99999999,0,0,0,,195,195,194,194,194,0,2,1005010,0,991,3,1005010,0,1032,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,QuTr_ARENA_Tutorial,1,10000999,0,0,0,0,0,0,10004,QuTr_ARENA_Tutorial,5,0,1,0,,194,194,194,194,194,0,3,1005010,0,0,3,7001024,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,QuTr_ARENA_002_Tutorial,1,0,0,0,0,0,0,0,10004,QuTr_ARENA_Num_Tutorial,50,0,0,0,,195,194,194,194,194,0,3,7001024,0,1427,3,7500000,0,2036,"[103106, 0, 0, 0]","[103110, 103673, 0, 0]",194,0,194
29,QuTr_ARENA_003_Tutorial,1,0,0,0,0,0,0,0,10004,QuTr_ARENA_Num_Tutorial,57,0,0,0,,195,194,194,194,194,0,3,7001024,0,1427,3,7500001,0,2096,"[103110, 0, 0, 0]","[103114, 103676, 0, 0]",194,0,194
23,Tlk_UniqueP_Adella_FsT21D_v1_1,7,10000999,0,0,0,0,0,0,10004,Tlk_UniqueP_Adella_FsT21D,27,0,1,0,,194,194,194,194,194,0,3,7001024,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Tlk_FsT21_F003_FsT21D_v1_1,1,10000473,0,0,0,0,0,0,10004,Tlk_FsT21_F003_FsT21D,13,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,Tlk_FsT21_F006_FsT21D_v1_1,1,10000476,0,0,0,0,0,0,10004,Tlk_FsT21_F006_FsT21D,15,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Tlk_FsT21_P014_FsT21D_v1_1,1,10000673,0,0,0,0,0,0,10004,Tlk_FsT21_P014_FsT21D_Mv01,18,0,3,0,,194,194,194,194,194,0,2,1005010,0,991,3,1005010,0,1030,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,Tlk_FsT21_P014_FsT21D_v2_1,1,10000673,0,0,0,0,0,0,10004,Tlk_FsT21_P014_FsT21D_Mv02,19,0,3,0,,194,194,194,194,194,0,3,1005010,0,1032,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,Tlk_FsT21_W008_FsT21D_v1_1,1,10000498,0,0,0,0,0,0,10003,Tlk_FsT21_W008_FsT21D,21,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
