m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
18,Tlk_HMnT21_F001_bar_HClT21A_v1,4,0,15,0,0,0,0,0,100137,Tlk_HMnT21_F001_bar_HClT21A,31,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,HClT21A_Curse_Tutorial,1,10000653,0,0,0,0,0,0,100137,HClT21A_Curse_Tutorial,19,0,1,0,,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104572, 0, 0, 0]",194,0,194
21,HClT21A_BreakCurse,1,10000653,0,0,0,0,0,0,100137,HClT21A_BreakCurse,20,0,1,0,,194,195,194,194,195,0,0,0,0,0,0,0,0,0,"[104625, 0, 0, 0]","[104573, 0, 0, 0]",194,0,194
22,HClT21A_BlackFogLock_01,9,0,622,0,0,0,0,0,100137,HClT21A_BlackFogLock_01,21,0,1,0,HClf_T_2001A1_02,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104573, 0, 0, 0]",194,0,194
23,HClT21A_BlackFogLock_02,9,0,622,0,0,0,0,0,100137,HClT21A_BlackFogLock_02,22,0,1,0,HClf_T_2001A1_03,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104573, 0, 0, 0]",194,0,194
47,HClT21A_BlackFogLock_03,9,10000653,0,0,0,0,0,0,100137,HClT21A_BlackFogLock_03,99999999,0,1,0,,194,195,194,194,194,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104573, 0, 0, 0]",194,0,194
48,HClT21A_BlackFogLock_03_b,9,0,622,0,0,0,0,0,100137,HClT21A_BlackFogLock_03_b,99999999,0,1,0,,194,195,195,194,194,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104573, 0, 0, 0]",194,0,194
52,eTALK_EvTutorial_72,1,0,0,0,0,0,0,0,100137,EvTutorial_72,58,0,0,0,,195,195,194,194,195,0,3,1008010,0,2288,3,1008010,0,2289,"[104573, 0, 0, 0]","[104680, 0, 0, 0]",194,0,194
53,QuTr_SubQuest002_01_00,1,10001456,0,0,0,0,0,0,100137,SubQuest002_01_00,59,0,4,1,,194,194,194,194,194,0,1,9000001,0,0,3,9000001,0,2565,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
54,QuTr_SubQuest002_01_01,1,10001456,0,0,0,0,0,0,100137,SubQuest002_01_01,61,0,4,1,,194,194,194,194,194,0,2,9000001,0,2566,3,9000001,0,2566,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
55,QuTr_SubQuest002_02_00,1,10001456,0,0,0,0,0,0,100137,SubQuest002_02_00,63,0,4,1,,194,194,194,194,194,0,1,9000002,0,0,3,9000002,0,2567,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
56,QuTr_SubQuest002_02_01,1,10001456,0,0,0,0,0,0,100137,SubQuest002_02_01,64,0,4,1,,194,194,194,194,194,0,2,9000002,0,2568,3,9000002,0,2568,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
57,QuTr_SubQuest002_02_02,1,10001456,0,0,0,0,0,0,100137,SubQuest002_02_02,67,0,4,1,,194,194,194,194,194,0,2,9000002,0,2569,3,9000002,0,2569,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
58,QuTr_SubQuest002_03_00,1,10001456,0,0,0,0,0,0,100137,SubQuest002_03_00,70,0,4,1,,194,194,194,194,194,0,1,9000003,0,0,3,9000003,0,2570,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
59,QuTr_SubQuest002_03_01,1,10001456,0,0,0,0,0,0,100137,SubQuest002_03_01,71,0,4,1,,194,194,194,194,194,0,2,9000003,0,2571,3,9000003,0,2571,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
60,QuTr_SubQuest002_03_02,1,10001456,0,0,0,0,0,0,100137,SubQuest002_03_02,74,0,4,1,,194,194,194,194,194,0,2,9000003,0,2572,3,9000003,0,2572,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
61,QuTr_SubQuest002_04_00,1,10001456,0,0,0,0,0,0,100137,SubQuest002_04_00,77,0,4,1,,194,194,194,194,194,0,1,9000004,0,0,3,9000004,0,2573,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
62,QuTr_SubQuest002_04_01,1,10001456,0,0,0,0,0,0,100137,SubQuest002_04_01,78,0,4,1,,194,194,194,194,194,0,2,9000004,0,2574,3,9000004,0,2574,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
63,QuTr_SubQuest002_04_02,1,10001456,0,0,0,0,0,0,100137,SubQuest002_04_02,81,0,4,1,,194,194,194,194,194,0,2,9000004,0,2575,3,9000004,0,2575,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
64,QuTr_SubQuest002_05_00,1,10001456,0,0,0,0,0,0,100137,SubQuest002_05_00,84,0,4,1,,194,194,194,194,194,0,1,9000005,0,0,3,9000005,0,2576,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
