m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,HClT21B_BreakCurse,1,10000653,0,0,0,0,0,0,100138,HClT21B_BreakCurse,1,0,1,0,,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[104627, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
2,HClT21B_BlackFogLock_01,9,0,622,0,0,0,0,0,100138,HClT21B_BlackFogLock_01,2,0,1,0,HClf_T_2001B1_01,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
3,HClT21B_BlackFogLock_02,9,0,622,0,0,0,0,0,100138,HClT21B_BlackFogLock_02,3,0,1,0,House10,194,195,194,194,195,0,3,1008010,0,2288,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
18,Tlk_HClT21_HL002A_HClT21B_v1_1,1,10001391,0,0,0,0,0,0,100138,Tlk_HClT21_HL002A_HClT21B,23,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
19,Tlk_HClT21_HL002A_HClT21B_v1_2,1,10001392,0,0,0,0,0,0,100138,Tlk_HClT21_HL002A_HClT21B,24,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
20,Tlk_HClT21_HL002B_HClT21B_v1_1,1,10001393,0,0,0,0,0,0,100138,Tlk_HClT21_HL002B_HClT21B,25,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_HClT21_W004_HClT21B_v1_1,1,10001446,0,0,0,0,0,0,100138,Tlk_HClT21_W004_HClT21B,6,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
7,Tlk_HClT21_W004_HClT21B_v2_1,1,10001423,0,0,0,0,0,0,100138,Tlk_HClT21_W004_HClT21B,7,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_HClT21_W005_HClT21B_v1_1,1,10001447,0,0,0,0,0,0,100138,Tlk_HClT21_W005_HClT21B,8,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
9,Tlk_HClT21_W005_HClT21B_v2_1,1,10001424,0,0,0,0,0,0,100138,Tlk_HClT21_W005_HClT21B,9,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_HClT21_P004_HClT21B_v1_1,1,10001441,0,0,0,0,0,0,100138,Tlk_HClT21_P004_HClT21B,10,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104574, 0, 0, 0]",194,0,194
11,Tlk_HClT21_P004_HClT21B_v2_1,1,10001419,0,0,0,0,0,0,100138,Tlk_HClT21_P004_HClT21B,11,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Tlk_HClT21_P004_HClT21B_v2_2,1,10001451,0,0,0,0,0,0,100138,Tlk_HClT21_P004_HClT21B,30,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
