m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
6,HFsT11A_BreakCurse_01,1,10000653,0,0,0,0,0,0,100143,HFsT11A_BreakCurse_01,8,0,1,0,,194,195,194,194,195,0,3,1008020,0,2368,0,0,0,0,"[104869, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
8,Lck_HFsT11A__01,9,10000653,0,0,0,0,0,0,100143,Lck_HFsT11A__01,99999999,0,1,0,,194,195,194,194,195,0,3,1008020,0,2368,0,0,0,0,"[0, 0, 0, 0]","[104874, 0, 0, 0]",194,0,194
1,Tlk_HFsT11_HL002A_HFsT11A_v1_1,1,10001477,0,0,0,0,0,0,100143,Tlk_HFsT11_HL002A_HFsT11A,2,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
2,Tlk_HFsT11_HL002B_HFsT11A_v1_1,1,10001478,0,0,0,0,0,0,100143,Tlk_HFsT11_HL002A_HFsT11A,3,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Tlk_HFsT11_W001_inn_HFsT11A_v1_1,1,10001528,0,0,0,0,0,0,100144,Tlk_HFsT11_W001_inn_HFsT11A,40,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
24,Tlk_HFsT11_W001_inn_HFsT11A_v2_1,2,10001485,0,0,0,0,0,0,100144,Tlk_HFsT11_W001_inn_HFsT11A,41,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,Tlk_HFsT11_P001_smith_HFsT11A_v1_1,1,10001525,0,0,0,0,0,0,100144,Tlk_HFsT11_P001_smith_HFsT11A,42,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
26,Tlk_HFsT11_P001_smith_HFsT11A_v2_1,21,10001482,0,0,0,0,0,0,100144,Tlk_HFsT11_P001_smith_HFsT11A,43,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_HFsT11_W002_HFsT11A_v1_1,1,10001529,0,0,0,0,0,0,100143,Tlk_HFsT11_W002_HFsT11A,12,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
10,Tlk_HFsT11_W002_HFsT11A_v2_1,1,10001486,0,0,0,0,0,0,100143,Tlk_HFsT11_W002_HFsT11A,14,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,Tlk_HFsT11_W002_HFsT11A_v2_2,1,10001509,0,0,0,0,0,0,100143,Tlk_HFsT11_W002_HFsT11A,45,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Tlk_HFsT11_W003_HFsT11A_v1_1,1,10001530,0,0,0,0,0,0,100143,Tlk_HFsT11_W003_HFsT11A,16,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
12,Tlk_HFsT11_W003_HFsT11A_v2_1,1,10001487,0,0,0,0,0,0,100143,Tlk_HFsT11_W003_HFsT11A,17,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Tlk_HFsT11_W004_HFsT11A_v1_1,1,10001531,0,0,0,0,0,0,100143,Tlk_HFsT11_W004_HFsT11A,19,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
14,Tlk_HFsT11_W004_HFsT11A_v2_1,1,10001488,0,0,0,0,0,0,100143,Tlk_HFsT11_W004_HFsT11A,21,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Tlk_HFsT11_W005_HFsT11A_v1_1,1,10001532,0,0,0,0,0,0,100143,Tlk_HFsT11_W005_HFsT11A,23,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
16,Tlk_HFsT11_W005_HFsT11A_v2_1,1,10001489,0,0,0,0,0,0,100143,Tlk_HFsT11_W005_HFsT11A,25,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Tlk_HFsT11_P002_HFsT11A_v1_1,1,10001526,0,0,0,0,0,0,100144,Tlk_HFsT11_P002_HFsT11A,27,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
18,Tlk_HFsT11_P002_HFsT11A_v2_1,1,10001483,0,0,0,0,0,0,100144,Tlk_HFsT11_P002_HFsT11A,29,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,Tlk_HFsT11_P002_HFsT11A_v2_2,1,10001508,0,0,0,0,0,0,100144,Tlk_HFsT11_P002_HFsT11A,47,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,Tlk_HFsT11_F002_HFsT11A_v1_1,1,10001520,0,0,0,0,0,0,100144,Tlk_HFsT11_F002_HFsT11A,31,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
20,Tlk_HFsT11_F002_HFsT11A_v2_1,1,10001469,0,0,0,0,0,0,100144,Tlk_HFsT11_F002_HFsT11A,34,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Tlk_HFsT11_F003_HFsT11A_v1_1,1,10001521,0,0,0,0,0,0,100144,Tlk_HFsT11_F003_HFsT11A,36,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
22,Tlk_HFsT11_F003_HFsT11A_v2_1,1,10001470,0,0,0,0,0,0,100144,Tlk_HFsT11_F003_HFsT11A,38,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,TreHV_HFsT11A_001,6,0,0,10438,0,0,0,0,100143,TreHV_HFsT11A_001,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[104957, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,eTreBX_HFsT11A_001,6,0,0,10436,0,0,0,0,100143,eTreBX_HFsT11A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,eTreBX_HFsT11A_002,6,0,0,10437,0,0,0,0,100143,eTreBX_HFsT11A_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
