m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,Tlk_NPC_Jump01_Hell,23,0,0,0,0,0,0,0,100144,Tlk_NPC_Jump01_Hell,1,0,1,0,,194,194,194,194,194,0,3,1008020,0,2368,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,Tlk_NPC_Jump01_Hell_Effect,8,0,620,0,0,0,0,0,100144,Tlk_NPC_Jump01_Hell_Effect,99999999,0,1,0,,194,195,194,194,194,0,3,1008020,0,2368,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,HFsT11B_BreakCurse,1,10000653,0,0,0,0,0,0,100144,HFsT11B_BreakCurse,7,0,1,0,,194,195,194,194,195,0,3,1008020,0,2368,0,0,0,0,"[104867, 0, 0, 0]","[104868, 0, 0, 0]",194,0,194
6,HFsT11B_BlackFogLock_01,9,0,622,0,0,0,0,0,100144,HFsT11B_BlackFogLock_01,8,0,1,0,HFsT_T_1001B1_01,194,195,194,194,195,0,3,1008020,0,2368,0,0,0,0,"[0, 0, 0, 0]","[104868, 0, 0, 0]",194,0,194
7,HFsT11B_BlackFogLock_02,9,0,622,0,0,0,0,0,100144,HFsT11B_BlackFogLock_02,9,0,1,0,HFsT_T_1001B1_02,194,195,194,194,195,0,3,1008020,0,2368,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
2,Tlk_HFsT11_HL001A_HFsT11B_v1_1,1,10001474,0,0,0,0,0,0,100144,Tlk_HFsT11_HL001A_HFsT11B_v1_1,3,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104868, 0, 0, 0]",194,0,194
3,Tlk_HFsT11_HL001A_HFsT11B_v1_2,1,10001475,0,0,0,0,0,0,100144,Tlk_HFsT11_HL001A_HFsT11B_v1_1,4,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104868, 0, 0, 0]",194,0,194
4,Tlk_HFsT11_HL001B_HFsT11B_v1_1,1,10001476,0,0,0,0,0,0,100144,Tlk_HFsT11_HL001A_HFsT11B_v1_1,5,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104868, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,Tlk_HFsT11_F001_bar_HFsT11B_v1_1,4,10001468,0,0,0,0,0,0,100144,Tlk_HFsT11_F001_bar_HFsT11B,14,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Tlk_HFsT11_W006_HFsT11B_v1_1,1,10001533,0,0,0,0,0,0,100144,Tlk_HFsT11_W006_HFsT11B,15,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
14,Tlk_HFsT11_W006_HFsT11B_v2_1,1,10001490,0,0,0,0,0,0,100144,Tlk_HFsT11_W006_HFsT11B,17,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,Tlk_HFsT11_W007_HFsT11B_v1_1,1,10001534,0,0,0,0,0,0,100144,Tlk_HFsT11_W007_HFsT11B,19,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
16,Tlk_HFsT11_W007_HFsT11B_v2_1,1,10001491,0,0,0,0,0,0,100144,Tlk_HFsT11_W007_HFsT11B,21,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Tlk_HFsT11_W008_HFsT11B_v1_1,1,10001535,0,0,0,0,0,0,100144,Tlk_HFsT11_W008_HFsT11B,23,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
18,Tlk_HFsT11_W008_HFsT11B_v2_1,1,10001492,0,0,0,0,0,0,100144,Tlk_HFsT11_W008_HFsT11B,25,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
34,Tlk_HFsT11_W008_HFsT11B_v2_2,1,10001510,0,0,0,0,0,0,100144,Tlk_HFsT11_W008_HFsT11B,45,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,Tlk_HFsT11_W009_HFsT11B_v1_1,1,10001536,0,0,0,0,0,0,100144,Tlk_HFsT11_W009_HFsT11B,27,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
20,Tlk_HFsT11_W009_HFsT11B_v2_1,1,10001493,0,0,0,0,0,0,100144,Tlk_HFsT11_W009_HFsT11B,28,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Tlk_HFsT11_P005_HFsT11B_v1_1,1,10001527,0,0,0,0,0,0,100144,Tlk_HFsT11_P005_HFsT11B,30,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[104870, 0, 0, 0]",194,0,194
22,Tlk_HFsT11_P005_HFsT11B_v2_1,1,10001484,0,0,0,0,0,0,100144,Tlk_HFsT11_P005_HFsT11B,32,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[104870, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
