m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
192,QuTr_PC003_02_03,1,10000325,0,0,0,0,0,0,120,QuTr_PC003_02_03,184,0,2,0,,194,194,194,194,194,0,2,2003020,0,965,3,2003020,0,965,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
193,QuTr_PC003_03_02,1,10000325,0,0,0,0,0,0,120,QuTr_PC003_03_02,185,0,2,0,,194,194,194,194,194,0,2,2003030,0,968,3,2003030,0,968,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
194,QuTr_PC003_03_03,1,0,0,0,0,0,0,0,120,QuTr_PC003_03_03,186,0,1,0,,194,194,194,194,194,0,2,2003030,0,969,3,2003030,0,969,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
195,QuTr_PC003_04_02,1,0,0,0,0,0,0,0,120,QuTr_PC003_04_02,188,0,1,0,,194,194,194,194,194,0,2,2003040,0,971,3,2003040,0,971,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
202,QuTr_PC016_02_01,1,1016,0,0,0,0,0,0,120,QuTr_PC016_02_01,195,0,1,0,,194,194,194,194,194,0,1,2016020,0,0,2,2016020,0,108,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
203,QuTr_PC016_02_03,1,10000258,0,0,0,0,0,0,120,QuTr_PC016_02_03,196,0,4,0,,194,194,194,194,194,0,2,2016020,0,479,3,2016020,0,479,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
204,QuTr_PC016_03_01,1,10000258,0,0,0,0,0,0,120,QuTr_PC016_03_01,197,0,1,0,,194,194,194,194,194,0,1,2016030,0,0,2,2016030,0,481,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
205,QuTr_PC016_03_02,1,0,0,0,0,0,0,0,120,QuTr_PC016_03_02,198,0,1,0,,194,194,194,194,194,0,2,2016030,0,481,3,2016030,0,481,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
206,QuTr_PC016_04_01,1,1016,0,0,0,0,0,0,120,QuTr_PC016_04_01,200,0,1,0,,194,194,194,194,194,0,1,2016040,0,0,2,2016040,0,684,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
207,QuTr_PC033_01_01,1,1033,0,0,0,0,0,0,120,QuTr_PC033_01_01,201,0,1,1,,194,194,194,194,194,0,1,2033010,0,0,2,2033010,0,174,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
