m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
118,QuTr_PC003_01_01,1,1003,0,0,0,0,0,0,121,QuTr_PC003_01_01,95,0,4,14,,194,194,194,194,194,0,1,2003010,0,0,2,2003010,0,960,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
119,QuTr_PC003_01_04,1,10000324,0,0,0,0,0,0,121,QuTr_PC003_01_04,96,0,3,0,,194,194,194,194,194,0,2,2003010,0,962,3,2003010,0,962,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
120,QuTr_PC003_02_01,1,10000324,0,0,0,0,0,0,121,QuTr_PC003_02_01,97,0,4,0,,194,194,194,194,194,0,1,2003020,0,0,2,2003020,0,964,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
121,QuTr_PC003_02_04,1,10000326,0,0,0,0,0,0,121,QuTr_PC003_02_04,98,0,3,0,,194,194,194,194,194,0,2,2003020,0,966,3,2003020,0,966,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
122,QuTr_PC003_03_01,1,1003,0,0,0,0,0,0,121,QuTr_PC003_03_01,100,0,3,0,,194,194,194,194,194,0,1,2003030,0,0,2,2003030,0,968,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
123,QuTr_PC003_04_01,1,1003,0,0,0,0,0,0,121,QuTr_PC003_04_01,101,0,3,0,,194,194,194,194,194,0,1,2003040,0,0,2,2003040,0,971,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
124,QuTr_PC003_04_04,1,10000324,0,0,0,0,0,0,121,QuTr_PC003_04_04,102,0,3,0,,194,194,194,194,194,0,2,2003040,0,973,3,2003040,0,973,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
129,QuTr_PC033_01_03,1,10000373,0,0,0,0,0,0,121,QuTr_PC033_01_03,107,0,3,41,,194,194,194,194,194,0,2,2033010,0,175,3,2033010,0,175,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
75,QuTr_PC039_02_03,1,10000382,0,0,0,0,0,0,121,QuTr_PC039_02_03,68,0,2,0,,194,194,194,194,194,0,2,2039020,0,775,3,2039020,0,775,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
76,QuTr_PC039_04_02,1,10000382,0,0,0,0,0,0,121,QuTr_PC039_04_02,69,0,2,0,,194,194,194,194,194,0,2,2039040,0,1007,3,2039040,0,1007,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
88,QuTr_PC044_02_02,1,0,0,0,0,0,0,0,121,QuTr_PC044_02_02,86,0,4,0,,194,194,194,194,194,0,2,2044020,0,220,3,2044020,0,220,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
89,QuTr_PC044_02_05,1,0,0,0,0,0,0,0,121,QuTr_PC044_02_05,87,0,4,0,,194,194,194,194,194,0,2,2044020,0,795,3,2044020,0,795,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
90,QuTr_PC044_03_02,1,10000400,0,0,0,0,0,0,121,QuTr_PC044_03_02,88,0,1,0,,194,194,194,194,194,0,2,2044030,0,797,3,2044030,0,797,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
91,QuTr_PC044_04_02,1,0,0,0,0,0,0,0,121,QuTr_PC044_04_02,89,0,4,0,,194,194,194,194,194,0,2,2044040,0,903,3,2044040,0,903,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
92,QuTr_PC044_04_04,1,10000400,0,0,0,0,0,0,121,QuTr_PC044_04_04,90,0,1,0,,194,194,194,194,194,0,2,2044040,0,1024,3,2044040,0,1024,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
114,QuTr_PC052_01_01,1,1052,0,0,0,0,0,0,121,QuTr_PC052_01_01,91,0,1,0,,194,194,194,194,194,0,1,2052010,0,0,2,2052010,0,250,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
115,QuTr_PC052_02_01,1,1052,0,0,0,0,0,0,121,QuTr_PC052_02_01,92,0,1,0,,194,194,194,194,194,0,1,2052020,0,0,2,2052020,0,252,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
116,QuTr_PC052_03_01,1,1052,0,0,0,0,0,0,121,QuTr_PC052_03_01,93,0,1,0,,194,194,194,194,194,0,1,2052030,0,0,2,2052030,0,828,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
117,QuTr_PC052_04_01,1,1052,0,0,0,0,0,0,121,QuTr_PC052_04_01,94,0,1,0,,194,194,194,194,194,0,1,2052040,0,0,2,2052040,0,830,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
125,QuTr_PC060_01_01,1,1060,0,0,0,0,0,0,121,QuTr_PC060_01_01,103,0,1,0,,194,194,194,194,194,0,1,2060010,0,0,2,2060010,0,278,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
126,QuTr_PC060_02_01,1,1060,0,0,0,0,0,0,121,QuTr_PC060_02_01,104,0,1,0,,194,194,194,194,194,0,1,2060020,0,0,2,2060020,0,280,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
127,QuTr_PC060_03_01,1,1060,0,0,0,0,0,0,121,QuTr_PC060_03_01,105,0,1,0,,194,194,194,194,194,0,1,2060030,0,0,2,2060030,0,495,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
128,QuTr_PC060_04_01,1,1060,0,0,0,0,0,0,121,QuTr_PC060_04_01,106,0,1,0,,194,194,194,194,194,0,1,2060040,0,0,2,2060040,0,860,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
82,TreKP_MnT12B_003,6,0,0,7152,0,0,0,0,121,TreKP_MnT12B_003,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[94049, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
83,TreKP_MnT12B_004,6,0,0,7153,0,0,0,0,121,TreKP_MnT12B_004,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[94050, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
46,eTALK_B04S_5_0,1,1543,0,0,0,0,0,0,121,B04S_5_0,39,0,1,0,,194,194,194,194,194,0,1,1004050,0,0,2,1004050,0,558,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
