m_id,m_MapObjType,m_OwnerChara,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_MapID,m_AppearLabel,m_TalkID,m_AppearDir,m_Priority,m_InputCheck,m_HideChara,m_HideIcon,m_AutoTalk,m_Boss,m_Progress,m_BootQuestID,m_BootQuestStaet,m_BootQuestTaskNum,m_TrigConditionID,m_DisableQuestID,m_DisableQuestState,m_DisableQuestTaskNum,m_NoneConditionID
0,1,1003,0,0,0,0,143,QuTr_PC003_01_01,1,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2003010,2,0,"[0, 0, 0, 0]"
1,1,1003,0,0,0,0,143,QuTr_PC003_01_04,2,1,10,0,194,194,194,0,0,2003010,2,3,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
2,1,1003,0,0,0,0,143,QuTr_PC003_02_01,3,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2003020,2,0,"[0, 0, 0, 0]"
3,1,1003,0,0,0,0,143,QuTr_PC003_02_03,4,1,10,0,194,194,194,0,0,2003020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
4,1,1003,0,0,0,0,143,QuTr_PC003_03_01,5,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2003030,2,0,"[0, 0, 0, 0]"
5,1,1003,0,0,0,0,143,QuTr_PC003_03_02,6,1,10,0,194,194,194,0,0,2003030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
6,1,1003,0,0,0,0,143,QuTr_PC003_04_01,7,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2003040,2,0,"[0, 0, 0, 0]"
7,1,1003,0,0,0,0,143,QuTr_PC003_04_02,8,1,10,0,194,194,194,0,0,2003040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
8,1,1003,0,0,0,0,143,QuTr_PC003_04_04,9,1,10,0,194,194,194,0,0,2003040,2,3,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
9,1,1016,0,0,0,0,143,QuTr_PC016_02_01,10,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2016020,2,0,"[0, 0, 0, 0]"
10,1,1016,0,0,0,0,143,QuTr_PC016_02_03,11,1,10,0,194,194,194,0,0,2016020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
11,1,1016,0,0,0,0,143,QuTr_PC016_03_01,12,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2016030,2,0,"[0, 0, 0, 0]"
12,1,1016,0,0,0,0,143,QuTr_PC016_03_02,13,1,10,0,194,194,194,0,0,2016030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
13,1,1016,0,0,0,0,143,QuTr_PC016_03_03,14,1,10,0,194,194,194,0,0,2016030,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
14,1,1016,0,0,0,0,143,QuTr_PC016_04_01,15,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2016040,2,0,"[0, 0, 0, 0]"
15,1,1033,0,0,0,0,90068,QuTr_PC033_02_02,16,0,10,0,194,194,194,0,0,2033020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
16,1,1033,0,0,0,0,90068,QuTr_PC033_02_03,17,0,10,0,194,194,194,0,0,2033020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
17,1,1033,0,0,0,0,90068,QuTr_PC033_02_04,18,0,10,0,194,194,194,0,0,2033020,2,3,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
18,1,1033,0,0,0,0,90068,QuTr_PC033_03_01,19,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2033030,2,0,"[0, 0, 0, 0]"
19,1,1033,0,0,0,0,90068,QuTr_PC033_03_02,20,0,10,0,194,194,194,0,0,2033030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
20,1,1033,0,0,0,0,90068,QuTr_PC033_03_03,21,0,10,0,194,194,194,0,0,2033030,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
21,1,1033,0,0,0,0,90068,QuTr_PC033_04_01,22,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2033040,2,0,"[0, 0, 0, 0]"
22,1,1033,0,0,0,0,90068,QuTr_PC033_04_02,23,0,10,0,194,194,194,0,0,2033040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
23,1,1044,0,0,0,0,143,QuTr_PC044_01_01,28,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2044010,2,0,"[0, 0, 0, 0]"
24,1,1044,0,0,0,0,143,QuTr_PC044_01_02,29,0,10,0,194,194,194,0,0,2044010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
