m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
6,Tlk_PlT01_P005_PlT01A_v1_1,3,10001005,0,0,0,0,0,0,3261235196517235863510095910220668792432957913434412955258808853972381740485853791834366142329153,7,0,3,1,,194,194,194,194,194,0,3,5000110,0,1875,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
12,Tlk_PlT01_F010_PlT01A_v1,4,10001166,0,0,0,0,0,0,3261235196517235863510095910220668792432957913434412955258808853972381728396613682144177915179329,12,0,1,1,,194,194,194,194,194,0,3,5000150,0,2153,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
15,Tlk_PlT01_W004_PlT01A_v1_1,1,10001195,0,0,0,0,0,0,3261235196517235863510095910220668792432957913434412955258808853972381748948334457079176327344449,15,0,3,1,,194,194,194,194,194,0,3,5000150,0,2153,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
13,EvTr_PlT01_F010_Djanbe_PlT01A_a,8,0,495,0,0,0,0,0,60159171034327325611392780986331406154320800152586893382000249029120551496923020013578533312292393174982176044757313,13,0,1,1,,194,194,194,194,194,0,3,5000150,0,2153,0,0,0,0,"[0, 0, 0, 0]","[103778, 0, 0, 0]",194,0,c2de0024
14,EvTr_PlT01_F010_Djanbe_PlT01A_b,8,0,495,0,0,0,0,0,60159171034327325611392780986331406154320800152586893382000249029120551496923020013578533312292393174982176044757313,14,0,1,1,,194,194,194,194,194,0,3,5000150,0,2153,0,0,0,0,"[103778, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
7,eTreBX_PlT01A_001,6,0,0,10218,0,0,0,0,759315489911762034406442174273698775198533644891004997145195833540004147701877937549361,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
16,eTreBX_PlT01A_002,6,0,0,10301,0,0,0,0,759315489911762034406442174273698775198533644891004997145195833540004147701877937549362,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
1,QuTr_Twn001_00_03,9,0,0,0,0,0,0,0,759315489911762034406442174273698775198533644884243058827699943224840988043954412793907,1,0,0,0,Spawn4,194,195,194,194,195,0,2,5000000,0,1581,3,5000000,0,1581,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
3,Wall_001,9,0,0,0,0,0,0,0,2453480672133646974603250920000402823728716832210035449802801,99999999,0,0,0,,195,194,195,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
4,Wall_002,9,0,0,0,0,0,0,0,2453480672133646974603250920000402823728716832210035449802802,99999999,0,0,0,,195,194,195,194,194,0,0,0,0,0,3,5000110,0,1875,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
5,Wall_003,9,0,0,0,0,0,0,0,2453480672133646974603250920000402823728716832210035449802803,99999999,0,0,0,,195,194,195,194,194,0,0,0,0,0,3,5000150,0,2153,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10,Lck_Box_fuusa_A_PlT01A,9,0,490,0,0,0,0,0,834876210308412381058584553016491210862837225931984378981164949902960077291565893338330299026649409,99999999,0,0,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
9,QuTr_PC186_04_03,1,10001127,0,0,0,0,0,0,2966076132467820446900164743256635840619272049988792081624759357367651745858301407283,9,0,4,14,,194,194,194,194,194,0,2,2186040,0,2065,3,2186040,0,2065,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
11,QuTr_PC185_03_02,1,10000653,0,0,0,0,0,0,2966076132467820446900164743256635840619272049988792081624759357367651464383307919410,11,0,1,0,,194,194,194,194,194,0,2,2185030,0,2004,3,2185030,0,2004,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
