m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,Tlk_NPC_TrcTower01_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower01_PlT01C,1,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[103829, 0, 0, 0]",194,0,194
2,Tlk_NPC_TrcTower02_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower02_PlT01C,2,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,Tlk_NPC_TrcTower03_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower03_PlT01C,3,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Tlk_NPC_TrcTower04_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower04_PlT01C,4,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_NPC_TrcTower05_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower05_PlT01C,5,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_NPC_TrcTower06_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower06_PlT01C,6,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_NPC_TrcTower07_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower07_PlT01C,7,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_NPC_TrcTower08_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower08_PlT01C,8,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_NPC_TrcTower09_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower09_PlT01C,9,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_NPC_TrcTower10_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower10_PlT01C,10,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,Tlk_NPC_TrcTower11_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower11_PlT01C,48,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[50137, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
32,Tlk_NPC_TrcTower12_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_TrcTower12_PlT01C,52,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103829, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
42,Tlk_NPC_Trc2Tower02_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower02_PlT01C,2,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
33,Tlk_NPC_Trc2Tower03_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower03_PlT01C,55,0,0,0,,194,194,194,194,194,0,3,1007000,0,999,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
35,Tlk_NPC_Trc2Tower05_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower05_PlT01C,59,0,0,0,,194,194,194,194,194,0,3,1006020,0,997,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
37,Tlk_NPC_Trc2Tower07_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower07_PlT01C,63,0,0,0,,194,194,194,194,194,0,3,1005020,0,992,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
38,Tlk_NPC_Trc2Tower08_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower08_PlT01C,65,0,0,0,,194,194,194,194,194,0,3,1006010,0,996,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
40,Tlk_NPC_Trc2Tower10_PlT01C_v1,8,0,352,0,0,0,0,0,100075,Tlk_NPC_Trc2Tower10_PlT01C,69,0,0,0,,194,194,194,194,194,0,3,1005010,0,991,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Lck_Blockage_01c_PlT01C,9,0,379,0,0,0,0,0,100075,Lck_Blockage_01c_PlT01C,99999999,0,0,0,,195,195,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
11,Tlk_PlT01_P003_PlT01C_v1_1,1,10000934,0,0,0,0,0,0,100075,Tlk_PlT01_P003_PlT01C,21,0,4,1,,194,194,194,194,194,0,3,5000040,0,1732,3,5000110,0,1875,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,Tlk_PlT01_P006_PlT01C_v1_1,1,10001006,0,0,0,0,0,0,100075,Tlk_PlT01_P003_PlT01C,43,0,4,1,,194,194,194,194,194,0,3,5000110,0,1875,3,5000110,0,1876,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,Tlk_PlT01_P006_PlT01C_v2_1,1,10001006,0,0,0,0,0,0,100075,Tlk_PlT01_P003_PlT01C,44,0,4,1,,194,194,194,194,194,0,3,5000110,0,1876,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,Tlk_PlT01_W003_PlT01C_v1_1,1,10000936,0,0,0,0,0,0,100075,Tlk_PlT01_W003_PlT01C,23,0,4,480,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Tlk_PlT01_F006_PlT01C_v1_1,1,10000932,0,0,0,0,0,0,100075,Tlk_PlT01_F006_PlT01C,24,0,3,480,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,QuTr_Twn005_02_01,1,0,0,0,0,0,0,0,100075,QuTr_Twn005_02_01,45,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[103567, 103568, 103569, 103570]","[50135, 0, 0, 0]",194,0,194
27,QuTr_Twn005_02_02,1,0,0,0,0,0,0,0,100075,QuTr_Twn005_02_02,46,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[103571, 103572, 103573, 103574]","[50136, 0, 0, 0]",194,0,194
28,QuTr_Twn005_02_03,1,0,0,0,0,0,0,0,100075,QuTr_Twn005_02_03,47,0,0,0,,195,195,194,194,195,0,0,0,0,0,0,0,0,0,"[50135, 50136, 0, 0]","[50137, 0, 0, 0]",194,0,194
14,QuTr_Twn_Book_01,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_01,25,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
15,QuTr_Twn_Book_02,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_02,27,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103567, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,QuTr_Twn_Book_03,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_03,29,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103569, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,QuTr_Twn_Book_04,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_04,31,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103570, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,QuTr_Twn_Book_05,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_05,33,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103574, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,QuTr_Twn_Book_06,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_06,35,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103573, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_Twn_Book_07,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_07,37,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103572, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,QuTr_Twn_Book_08,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_08,39,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103571, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,QuTr_Twn_Book_09,1,0,0,0,0,0,0,0,100075,QuTr_Twn_Book_09,41,15,0,0,,194,194,194,194,194,0,3,5000040,0,1732,0,0,0,0,"[103568, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,TreBx_PlT01C_001,6,0,0,10248,0,0,0,0,100075,TreBx_PlT01C_001,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[50140, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
31,QuTr_PC186_02_04,1,10000653,0,0,0,0,0,0,100075,QuTr_PC186_02_04,51,0,1,0,,194,194,194,194,194,0,2,2186020,0,2056,3,2186020,0,2056,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
43,Lck_Lck001_PlT01C_v1,9,10000653,0,0,0,0,0,0,100075,Lck_Lck001_PlT01C,99999999,0,0,0,,195,195,195,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[103963, 0, 0, 0]",194,0,194
44,Lck_Lck002_PlT01C_v1,9,10000653,0,0,0,0,0,0,100075,Lck_Lck002_PlT01C,99999999,0,0,0,,195,195,195,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[103963, 0, 0, 0]",194,0,194
