m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,SymEnm_PlT01D5_1A,10,0,0,0,50099,0,0,0,100080,SymEnm_PlT01D5_1A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90520, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_PlT01D5_1B,10,0,0,0,50100,0,0,0,100080,SymEnm_PlT01D5_1B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90521, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_PlT01D5_2A,10,0,0,0,50101,0,0,0,100080,SymEnm_PlT01D5_2A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90522, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_PlT01D5_2B,10,0,0,0,50102,0,0,0,100080,SymEnm_PlT01D5_2B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90523, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_PlT01D5_3A,10,0,0,0,50103,0,0,0,100080,SymEnm_PlT01D5_3A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90524, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,SymEnm_PlT01D5_3B,10,0,0,0,50104,0,0,0,100080,SymEnm_PlT01D5_3B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90525, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,SymEnm_PlT01D5_Boss,10,0,0,0,50105,0,0,0,100080,SymEnm_PlT01D5_Boss,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[90521, 90523, 90524, 90525]","[0, 0, 0, 0]",194,0,194
22,Pnl_PlT01D5_1A,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_1A,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90520, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Pnl_PlT01D5_1B,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_1B,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90521, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,Pnl_PlT01D5_2A,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_2A,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90522, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,Pnl_PlT01D5_2B,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_2B,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90523, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,Pnl_PlT01D5_3A,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_3A,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90524, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,Pnl_PlT01D5_3B,8,0,346,0,0,0,0,0,100080,Pnl_PlT01D5_3B,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90525, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
42,Pnl_PlT01D5_Boss,8,0,347,0,0,0,0,0,100080,Pnl_PlT01D5_Boss,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[90521, 90523, 90524, 90525]","[0, 0, 0, 0]",194,0,194
43,Tlk_NPC_TrcTower01_PlT01D5_v1,8,0,352,0,0,0,0,0,100080,Tlk_NPC_TrcTower01_PlT01D5,1,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
44,Tlk_NPC_TrcTower02_PlT01D5_v1,8,0,352,0,0,0,0,0,100080,Tlk_NPC_TrcTower02_PlT01D5,2,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
45,Tlk_NPC_TrcTower03_PlT01D5_v1,8,0,352,0,0,0,0,0,100080,Tlk_NPC_TrcTower03_PlT01D5,3,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
