m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,PlF21_Dummy,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,SymEnm_PlT01F5_1A,10,0,0,0,50188,0,0,0,100163,SymEnm_PlT01F5_1A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103581, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,SymEnm_PlT01F5_1B,10,0,0,0,50189,0,0,0,100163,SymEnm_PlT01F5_1B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103582, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,SymEnm_PlT01F5_2A,10,0,0,0,50190,0,0,0,100163,SymEnm_PlT01F5_2A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103583, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,SymEnm_PlT01F5_2B,10,0,0,0,50191,0,0,0,100163,SymEnm_PlT01F5_2B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103584, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,SymEnm_PlT01F5_3A,10,0,0,0,50192,0,0,0,100163,SymEnm_PlT01F5_3A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103585, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,SymEnm_PlT01F5_3B,10,0,0,0,50193,0,0,0,100163,SymEnm_PlT01F5_3B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103586, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,SymEnm_PlT01F5_4A,10,0,0,0,50194,0,0,0,100163,SymEnm_PlT01F5_4A,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103587, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,SymEnm_PlT01F5_4B,10,0,0,0,50195,0,0,0,100163,SymEnm_PlT01F5_4B,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[103588, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Pnl_PlT01F5_1A,8,0,346,0,0,0,0,0,100163,Pnl_PlT01F5_1A,99999999,0,1,0,,194,195,194,194,194,0,0,0,0,0,0,0,0,0,"[103581, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
