m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
10102,QuTr_PC007_01_01,1,1007,0,0,0,0,0,0,77,QuTr_PC007_01_01,10100,0,4,0,,194,194,194,194,194,0,1,2007010,0,0,2,2007010,0,69,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10103,QuTr_PC007_01_02,1,10000047,0,0,0,0,0,0,77,QuTr_PC007_01_02,10101,0,1,0,,194,194,194,194,194,0,2,2007010,0,69,3,2007010,0,69,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10104,QuTr_PC007_01_03,1,10000048,0,0,0,0,0,0,77,QuTr_PC007_01_03,10102,0,1,0,,194,194,194,194,194,0,2,2007010,0,309,3,2007010,0,309,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10105,QuTr_PC007_01_04,1,10000049,0,0,0,0,0,0,77,QuTr_PC007_01_04,10103,0,1,0,,194,194,194,194,194,0,2,2007010,0,310,3,2007010,0,310,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10106,QuTr_PC007_02_01,1,1007,0,0,0,0,0,0,77,QuTr_PC007_02_01,10104,0,4,0,,194,194,194,194,194,0,1,2007020,0,0,2,2007020,0,648,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10107,QuTr_PC007_02_02,1,10000050,0,0,0,0,0,0,77,QuTr_PC007_02_02,10105,0,1,0,,194,194,194,194,194,0,2,2007020,0,648,3,2007020,0,648,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10108,QuTr_PC007_02_03,1,10000065,0,0,0,0,0,0,77,QuTr_PC007_02_03,10106,0,1,0,,194,194,194,194,194,0,2,2007020,0,70,3,2007020,0,70,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10109,QuTr_PC007_03_01,1,0,0,0,0,0,0,0,77,QuTr_PC007_03_01,10107,0,1,0,,194,194,194,194,194,0,1,2007030,0,0,2,2007030,0,71,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10110,QuTr_PC007_04_01,1,1007,0,0,0,0,0,0,77,QuTr_PC007_04_01,10108,0,4,0,,194,194,194,194,194,0,1,2007040,0,0,2,2007040,0,72,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10142,QuTr_PC009_01_01,1,1009,0,0,0,0,0,0,77,QuTr_PC009_01_01,10142,0,1,10,,194,194,194,194,194,0,1,2009010,0,0,2,2009010,0,78,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10143,QuTr_PC009_01_02,1,10000352,0,0,0,0,0,0,77,QuTr_PC009_01_02,10143,0,2,0,,194,194,194,194,194,0,2,2009010,0,78,3,2009010,0,78,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10144,QuTr_PC009_01_03,1,10000351,0,0,0,0,0,0,77,QuTr_PC009_01_03,10145,0,4,41,,194,194,194,194,194,0,2,2009010,0,79,3,2009010,0,79,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10145,QuTr_PC009_02_01,1,1009,0,0,0,0,0,0,77,QuTr_PC009_02_01,10146,0,1,0,,194,194,194,194,194,0,1,2009020,0,0,2,2009020,0,312,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10146,QuTr_PC009_02_02,1,0,0,0,0,0,0,0,77,QuTr_PC009_02_02,10147,0,1,0,,194,194,194,194,194,0,2,2009020,0,312,3,2009020,0,312,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10147,QuTr_PC009_02_03,1,10000352,0,0,0,0,0,0,77,QuTr_PC009_02_03,10148,0,2,0,,194,194,194,194,194,0,2,2009020,0,313,3,2009020,0,313,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10148,QuTr_PC009_03_01,1,1009,0,0,0,0,0,0,77,QuTr_PC009_03_01,10149,0,1,0,,194,194,194,194,194,0,1,2009030,0,0,2,2009030,0,655,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10149,QuTr_PC009_04_01,1,1009,0,0,0,0,0,0,77,QuTr_PC009_04_01,10150,0,1,0,,194,194,194,194,194,0,1,2009040,0,0,2,2009040,0,987,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10150,QuTr_PC009_04_03,1,0,0,0,0,0,0,0,77,QuTr_PC009_04_03,10151,0,1,0,,194,194,194,194,194,0,2,2009040,0,988,3,2009040,0,988,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10078,QuTr_PC011_01_01,1,1011,0,0,0,0,0,0,77,QuTr_PC011_01_01,10077,0,4,0,,194,194,194,194,194,0,1,2011010,0,0,2,2011010,0,85,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10079,QuTr_PC011_01_02,1,0,0,0,0,0,0,0,77,QuTr_PC011_01_02,10078,0,1,0,,194,194,194,194,194,0,2,2011010,0,85,3,2011010,0,85,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10080,QuTr_PC011_01_03,1,10000046,0,0,0,0,0,0,77,QuTr_PC011_01_03,10079,0,1,0,,194,194,194,194,194,0,2,2011010,0,664,3,2011010,0,664,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10081,QuTr_PC011_02_01,1,1011,0,0,0,0,0,0,77,QuTr_PC011_02_01,10080,0,4,0,,194,194,194,194,194,0,1,2011020,0,0,2,2011020,0,665,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10082,QuTr_PC011_02_02,1,0,0,0,0,0,0,0,77,QuTr_PC011_02_02,10081,0,1,0,,194,194,194,194,194,0,2,2011020,0,665,3,2011020,0,665,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10083,QuTr_PC011_03_01,1,1011,0,0,0,0,0,0,77,QuTr_PC011_03_01,10082,0,4,0,,194,194,194,194,194,0,1,2011030,0,0,2,2011030,0,666,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10084,QuTr_PC011_04_01,1,1011,0,0,0,0,0,0,77,QuTr_PC011_04_01,10083,0,4,0,,194,194,194,194,194,0,1,2011040,0,0,2,2011040,0,924,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10170,QuTr_PC015_01_01,1,1015,0,0,0,0,0,0,77,QuTr_PC015_01_01,10205,0,3,13,,194,194,194,194,194,0,1,2015010,0,0,2,2015010,0,102,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10171,QuTr_PC015_01_02,1,10000384,0,0,0,0,0,0,77,QuTr_PC015_01_02,10206,0,4,1,,194,194,194,194,194,0,2,2015010,0,102,3,2015010,0,102,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10172,QuTr_PC015_02_01,1,1015,0,0,0,0,0,0,77,QuTr_PC015_02_01,10207,0,4,1,,194,194,194,194,194,0,1,2015020,0,0,2,2015020,0,104,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10173,QuTr_PC015_02_02,1,0,0,0,0,0,0,0,77,QuTr_PC015_02_02,10208,0,1,0,,194,194,194,194,194,0,2,2015020,0,104,3,2015020,0,104,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10174,QuTr_PC015_02_03,1,10000385,0,0,0,0,0,0,77,QuTr_PC015_02_03,10209,0,3,1,,194,194,194,194,194,0,2,2015020,0,336,3,2015020,0,336,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10175,QuTr_PC015_03_01,1,1015,0,0,0,0,0,0,77,QuTr_PC015_03_01,10210,0,4,14,,194,194,194,194,194,0,1,2015030,0,0,2,2015030,0,679,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10176,QuTr_PC015_03_02,1,0,0,0,0,0,0,0,77,QuTr_PC015_03_02,10211,0,1,0,,194,194,194,194,194,0,2,2015030,0,679,3,2015030,0,679,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10177,QuTr_PC015_04_01,1,1015,0,0,0,0,0,0,77,QuTr_PC015_04_01,10213,0,4,1,,194,194,194,194,194,0,1,2015040,0,0,2,2015040,0,681,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10178,QuTr_PC015_04_02,1,0,0,0,0,0,0,0,77,QuTr_PC015_04_02,10214,0,1,0,,194,194,194,194,194,0,2,2015040,0,681,3,2015040,0,681,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10069,QuTr_PC024_01_01,1,1024,0,0,0,0,0,0,77,QuTr_PC024_01_01,10068,0,1,0,,194,194,194,194,194,0,1,2024010,0,0,2,2024010,0,137,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10070,QuTr_PC024_01_03,1,0,0,0,0,0,0,0,77,QuTr_PC024_01_03,10069,0,1,0,,194,194,194,194,194,0,2,2024010,0,315,3,2024010,0,315,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10071,QuTr_PC024_02_01,1,1024,0,0,0,0,0,0,77,QuTr_PC024_02_01,10070,0,1,0,,194,194,194,194,194,0,1,2024020,0,0,2,2024020,0,138,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10072,QuTr_PC024_02_03,1,0,0,0,0,0,0,0,77,QuTr_PC024_02_03,10071,0,1,0,,194,194,194,194,194,0,2,2024020,0,316,3,2024020,0,316,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10073,QuTr_PC024_03_01,1,1024,0,0,0,0,0,0,77,QuTr_PC024_03_01,10072,0,1,0,,194,194,194,194,194,0,1,2024030,0,0,2,2024030,0,139,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10074,QuTr_PC024_03_02,1,0,0,0,0,0,0,0,77,QuTr_PC024_03_02,10073,0,1,0,,194,194,194,194,194,0,2,2024030,0,139,3,2024030,0,139,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10075,QuTr_PC024_03_03,1,10000159,0,0,0,0,0,0,77,QuTr_PC024_03_03,10074,0,1,0,,194,194,194,194,194,0,2,2024030,0,318,3,2024030,0,318,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10076,QuTr_PC024_04_01,1,1024,0,0,0,0,0,0,77,QuTr_PC024_04_01,10075,0,1,0,,194,194,194,194,194,0,1,2024040,0,0,2,2024040,0,140,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10077,QuTr_PC024_04_03,1,10000159,0,0,0,0,0,0,77,QuTr_PC024_04_03,10076,0,1,0,,194,194,194,194,194,0,2,2024040,0,320,3,2024040,0,320,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10111,QuTr_PC041_01_01,1,1041,0,0,0,0,0,0,77,QuTr_PC041_01_01,10112,0,3,10,,194,194,194,194,194,0,1,2041010,0,0,2,2041010,0,205,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10112,QuTr_PC041_01_02,1,0,0,0,0,0,0,0,77,QuTr_PC041_01_02,10113,0,1,0,,194,194,194,194,194,0,2,2041010,0,205,3,2041010,0,205,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10113,QuTr_PC041_02_01,1,1041,0,0,0,0,0,0,77,QuTr_PC041_02_01,10114,0,1,0,,194,194,194,194,194,0,1,2041020,0,0,2,2041020,0,206,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
