m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
180,QuTr_PC004_01_01,1,0,0,0,0,0,0,0,72,QuTr_PC004_01_01,182,0,1,0,,194,194,194,194,194,0,1,2004010,0,0,2,2004010,0,57,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
181,QuTr_PC004_01_02,1,0,0,0,0,0,0,0,72,QuTr_PC004_01_02,183,0,1,0,,194,194,194,194,194,0,2,2004010,0,57,3,2004010,0,57,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
182,QuTr_PC004_01_03,1,10000180,0,0,0,0,0,0,72,QuTr_PC004_01_03,185,0,2,0,,194,194,194,194,194,0,2,2004010,0,58,3,2004010,0,58,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
183,QuTr_PC004_02_01,1,1004,0,0,0,0,0,0,72,QuTr_PC004_02_01,186,0,1,0,,194,194,194,194,194,0,1,2004020,0,0,2,2004020,0,59,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
184,QuTr_PC004_03_01,1,1004,0,0,0,0,0,0,72,QuTr_PC004_03_01,187,0,4,0,,194,194,194,194,194,0,1,2004030,0,0,2,2004030,0,60,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
185,QuTr_PC004_04_01,1,1004,0,0,0,0,0,0,72,QuTr_PC004_04_01,188,0,4,0,,194,194,194,194,194,0,1,2004040,0,0,2,2004040,0,496,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
186,QuTr_PC004_04_02,1,0,0,0,0,0,0,0,72,QuTr_PC004_04_02,189,0,1,0,,194,194,194,194,194,0,2,2004040,0,496,3,2004040,0,496,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
261,QuTr_PC020_01_01,1,1020,0,0,0,0,0,0,72,QuTr_PC020_01_01,256,0,3,0,,194,194,194,194,194,0,1,2020010,0,0,2,2020010,0,122,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
262,QuTr_PC020_01_03,1,0,0,0,0,0,0,0,72,QuTr_PC020_01_03,257,0,1,0,,194,194,194,194,194,0,2,2020010,0,123,3,2020010,0,123,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
263,QuTr_PC020_02_01,1,1020,0,0,0,0,0,0,72,QuTr_PC020_02_01,258,0,3,0,,194,194,194,194,194,0,1,2020020,0,0,2,2020020,0,497,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
