m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B06S_2_3,1,0,0,0,0,0,0,0,10026,B06S_2_3,1,0,0,0,,195,195,194,194,195,0,2,1006020,0,1229,3,1006020,0,1229,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B06S_2_9_9,1,10000609,0,0,0,0,0,0,10026,B06S_2_9_9,3,0,4,1,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B06S_2_9_13,9,80060,0,0,0,0,0,0,10026,B06S_2_9_13,99999999,0,4,10,,194,195,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B06S_2_9_14,1,80061,0,0,0,0,0,0,10026,B06S_2_9_14,99999999,0,3,10,,194,195,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B06S_2_9_15,1,80065,0,0,0,0,0,0,10026,B06S_2_9_15,2,0,2,1,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
53,eTALK_B06S_2_9_16,1,10000605,0,0,0,0,0,0,10026,B06S_2_9_16,99999999,0,1,142,,194,195,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
54,eTALK_B06S_2_9_17,1,10000605,0,0,0,0,0,0,10026,B06S_2_9_17,99999999,0,1,142,,194,195,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
78,eTALK_B06S_2_10_1,1,10000609,0,0,0,0,0,0,10026,B06S_2_10_1,64,0,4,1,,194,194,194,194,194,0,2,1006020,0,1716,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_SeT21A_001,6,0,0,10147,0,0,0,0,10026,eTreBX_SeT21A_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,Tlk_SeT21_W001_inn_SeT21A_v1,2,10000904,0,0,0,0,0,0,10026,Tlk_SeT21_W001_inn_SeT21A,17,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
58,Tlk_SeT21_W001_inn_SeT21A_v2,2,10000904,0,0,0,0,0,0,10026,Tlk_SeT21_W001_inn_SeT21A,60,0,1,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
61,Tlk_SeT21_W001_inn_SeT21A_v1_2,2,10000904,0,0,0,0,0,0,10026,Tlk_SeT21_W001_inn_SeT21A,17,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
19,Tlk_SeT21_P001_smith_SeT21A_v1,3,10000895,0,0,0,0,0,0,10026,Tlk_SeT21_P001_smith_SeT21A,18,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
59,Tlk_SeT21_P001_smith_SeT21A_v2,3,10000895,0,0,0,0,0,0,10026,Tlk_SeT21_P001_smith_SeT21A,61,0,1,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
62,Tlk_SeT21_P001_smith_SeT21A_v1_2,3,10000895,0,0,0,0,0,0,10026,Tlk_SeT21_P001_smith_SeT21A,18,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,Tlk_SeT21_F001_bar_SeT21A_v1,4,10000882,0,0,0,0,0,0,10026,Tlk_SeT21_F001_bar_SeT21A,19,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
60,Tlk_SeT21_F001_bar_SeT21A_v2,4,10000882,0,0,0,0,0,0,10026,Tlk_SeT21_F001_bar_SeT21A,62,0,1,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
63,Tlk_SeT21_F001_bar_SeT21A_v1_2,4,10000882,0,0,0,0,0,0,10026,Tlk_SeT21_F001_bar_SeT21A,19,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
21,Tlk_SeT21_W002_SeT21A_v1_1,1,10000905,0,0,0,0,0,0,10026,Tlk_SeT21_W002_SeT21A,20,0,3,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
64,Tlk_SeT21_W002_SeT21A_v1_1_2,1,10000905,0,0,0,0,0,0,10026,Tlk_SeT21_W002_SeT21A,20,0,3,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
107,Tlk_SeT21_W002_SeT21A_v1_2,1,10001249,0,0,0,0,0,0,10026,Tlk_SeT21_W002_SeT21A,92,0,3,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
108,Tlk_SeT21_W002_SeT21A_v1_2_2,1,10001249,0,0,0,0,0,0,10026,Tlk_SeT21_W002_SeT21A,92,0,3,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,Tlk_SeT21_W003_SeT21A_v1_1,1,10000906,0,0,0,0,0,0,10026,Tlk_SeT21_W003_SeT21A,21,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
