m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B06S_2_4,1,0,0,0,0,0,0,0,10027,B06S_2_4,3,0,0,0,,195,195,194,194,195,0,2,1006020,0,1230,3,1006020,0,1230,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,eTALK_B06S_2_4_1,1,10000607,0,0,0,0,0,0,10027,B06S_2_4_1,99999999,0,4,1,,194,195,194,194,194,0,2,1006020,0,1230,3,1006020,0,1230,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B06S_2_4_2,1,10000608,0,0,0,0,0,0,10027,B06S_2_4_2,99999999,0,4,1,,194,195,194,194,194,0,2,1006020,0,1230,3,1006020,0,1230,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B06S_2_4_3,1,10000609,0,0,0,0,0,0,10027,B06S_2_4_3,99999999,0,3,1,,194,195,194,194,194,0,2,1006020,0,1230,3,1006020,0,1230,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,eTALK_B06S_2_5,1,10000609,0,0,0,0,0,0,10027,B06S_2_5,17,0,3,1,,194,194,194,194,194,0,2,1006020,0,1231,3,1006020,0,1232,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
24,eTALK_B06S_2_5_1,1,10000607,0,0,0,0,0,0,10027,B06S_2_5_1,99999999,0,3,13,,194,195,194,194,194,0,2,1006020,0,1231,3,1006020,0,1232,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
25,eTALK_B06S_2_5_2,1,10000608,0,0,0,0,0,0,10027,B06S_2_5_2,99999999,0,3,14,,194,195,194,194,194,0,2,1006020,0,1231,3,1006020,0,1232,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,eTALK_B06S_2_5_3,9,0,0,0,0,0,0,0,10027,B06S_2_5_3,99999999,0,0,0,,195,195,194,194,194,0,2,1006020,0,1231,3,1006020,0,1232,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
16,eTreBX_SeT21B_001,6,0,0,10148,0,0,0,0,10027,eTreBX_SeT21B_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
