m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTreBX_SeT21C_001,6,0,0,10151,0,0,0,0,10028,eTreBX_SeT21C_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTreBX_SeT21C_002,6,0,0,10152,0,0,0,0,10028,eTreBX_SeT21C_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,Lck_SIGNINFO_NS_001_SeT21C_v1,9,0,39,0,0,0,0,0,10028,Lck_SIGNINFO_NS_001_SeT21C,1,0,0,0,Sea_T_2001C1_03,194,195,194,194,195,0,0,0,0,0,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Tlk_SeT21_W017_SeT21C_v1_1,1,10000920,0,0,0,0,0,0,10028,Tlk_SeT21_W017_SeT21C,2,0,1,0,,194,194,194,194,194,0,0,0,0,0,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_SeT21_W017_SeT21C_v2_1,1,10000920,0,0,0,0,0,0,10028,Tlk_SeT21_W017_SeT21C,5,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_SeT21_W018_SeT21C_v1_1,1,10000921,0,0,0,0,0,0,10028,Tlk_SeT21_W018_SeT21C,3,0,3,0,,194,194,194,194,194,0,0,0,0,0,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_SeT21_W018_SeT21C_v2_1,1,10000921,0,0,0,0,0,0,10028,Tlk_SeT21_W018_SeT21C,8,0,3,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_SeT21_F011_SeT21C_v1_1,1,10000892,0,0,0,0,0,0,10028,Tlk_SeT21_F011_SeT21C,4,0,4,0,,194,194,194,194,194,0,0,0,0,0,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_SeT21_F011_SeT21C_v2_1,1,10000892,0,0,0,0,0,0,10028,Tlk_SeT21_F011_SeT21C,11,0,4,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,TreKP_SeT21A_003,6,0,0,10212,0,0,0,0,10028,TreKP_SeT21A_003,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[103626, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
