m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
1,eTALK_B06S_2_7,1,0,0,0,0,0,0,0,100026,B06S_2_7,1,0,0,0,,195,194,194,194,195,0,2,1006020,0,1472,3,1006020,0,1472,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
48,eTALK_B06S_2_7_1_v1_1,1,10000924,0,0,0,0,0,0,100026,B06S_2_7_1,13,0,1,142,,194,194,194,194,194,0,2,1006020,0,1472,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
49,eTALK_B06S_2_7_1_v2_1,1,10000924,0,0,0,0,0,0,100026,B06S_2_7_1,31,0,1,142,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
50,eTALK_B06S_2_7_2_v1_1,1,10000903,0,0,0,0,0,0,100026,B06S_2_7_2,15,0,1,142,,194,194,194,194,194,0,2,1006020,0,1472,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
51,eTALK_B06S_2_7_2_v2_1,1,10000903,0,0,0,0,0,0,100026,B06S_2_7_2,38,0,1,142,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B06S_2_7_3,9,10000653,0,0,0,0,0,0,100026,B06S_2_7_3,99999999,0,0,0,,195,195,194,194,194,0,2,1006020,0,1472,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,eTALK_B06S_2_8,1,1515,0,0,0,0,0,0,100026,B06S_2_8,2,0,2,1,,194,194,194,194,194,0,2,1006020,0,1714,3,1006020,0,1714,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B06S_2_9_6,1,10000609,0,0,0,0,0,0,100026,B06S_2_9_6,3,0,3,1,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,eTALK_B06S_2_9_8,1,1719,0,0,0,0,0,0,100026,B06S_2_9_8,6,0,4,1,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,eTALK_B06S_2_9_30,9,10000653,0,0,0,0,0,0,100026,B06S_2_9_30,99999999,0,0,0,,195,195,194,194,194,0,2,1006020,0,1715,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
53,eTALK_B06S_2_10_2,1,10000609,0,0,0,0,0,0,100026,B06S_2_10_2,61,0,3,1,,194,194,194,194,194,0,2,1006020,0,1716,3,1006020,0,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
65,Lck_Lock001_SeT21D_v1,9,10000653,0,0,0,0,0,0,100026,Lck_Lock001_SeT21D,99999999,0,1,0,,195,195,195,194,194,0,3,1006020,0,1716,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
12,eTreBX_SeT21D_001,6,0,0,10153,0,0,0,0,100026,eTreBX_SeT21D_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
17,Tlk_SeT21_W019_SeT21D_v1_1,1,10000922,0,0,0,0,0,0,100026,Tlk_SeT21_W019_SeT21D,11,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
27,Tlk_SeT21_W019_SeT21D_v2_1,1,10000922,0,0,0,0,0,0,100026,Tlk_SeT21_W019_SeT21D,23,0,1,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
28,Tlk_SeT21_W019_SeT21D_v3_1,1,10000922,0,0,0,0,0,0,100026,Tlk_SeT21_W019_SeT21D,25,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
18,Tlk_SeT21_W020_SeT21D_v1_1,1,10000923,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,12,0,2,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
29,Tlk_SeT21_W020_SeT21D_v2_1,1,10000923,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,28,0,2,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
30,Tlk_SeT21_W020_SeT21D_v3_1,1,10000923,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,29,0,2,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
66,Tlk_SeT21_W020_SeT21D_v1_2,1,10001250,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,77,0,2,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
67,Tlk_SeT21_W020_SeT21D_v2_2,1,10001250,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,79,0,2,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
68,Tlk_SeT21_W020_SeT21D_v3_2,1,10001250,0,0,0,0,0,0,100026,Tlk_SeT21_W020_SeT21D,80,0,2,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
32,Tlk_SeT21_W021_SeT21D_v3_1,1,10000924,0,0,0,0,0,0,100026,Tlk_SeT21_W021_SeT21D,32,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,Tlk_SeT21_P008_SeT21D_v1_1,1,10000902,0,0,0,0,0,0,100026,Tlk_SeT21_P008_SeT21D,14,0,1,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
33,Tlk_SeT21_P008_SeT21D_v2_1,1,10000902,0,0,0,0,0,0,100026,Tlk_SeT21_P008_SeT21D,34,0,1,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
34,Tlk_SeT21_P008_SeT21D_v3_1,1,10000902,0,0,0,0,0,0,100026,Tlk_SeT21_P008_SeT21D,36,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
36,Tlk_SeT21_P009_SeT21D_v3_1,1,10000903,0,0,0,0,0,0,100026,Tlk_SeT21_P009_SeT21D,40,0,1,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,Tlk_SeT21_F012_SeT21D_v1_1,1,10000893,0,0,0,0,0,0,100026,Tlk_SeT21_F012_SeT21D,16,0,3,0,,194,194,194,194,194,0,0,0,0,0,2,1006020,0,1715,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
37,Tlk_SeT21_F012_SeT21D_v2_1,1,10000893,0,0,0,0,0,0,100026,Tlk_SeT21_F012_SeT21D,43,0,3,0,,194,194,194,194,194,0,2,1006020,0,1715,3,1006020,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
38,Tlk_SeT21_F012_SeT21D_v3_1,1,10000893,0,0,0,0,0,0,100026,Tlk_SeT21_F012_SeT21D,44,0,3,0,,194,194,194,194,194,0,3,1006020,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
23,Tlk_SeT21_F013_SeT21D_v1_1,1,10000894,0,0,0,0,0,0,100026,Tlk_SeT21_F013_SeT21D,17,0,4,0,,194,194,194,194,194,0,3,1006020,0,0,3,1006030,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
