m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
10037,QuTr_PC022_03_02,1,0,0,0,0,0,0,0,57,QuTr_PC022_03_02,10036,0,1,0,,194,194,194,194,194,0,2,193672078969654405093050978263100118748688658365178956836096,131,3,3249278302043236742522813234569063105355952227926050008953062255872,131,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10032,QuTr_PC049_01_01,1,1049,0,0,0,0,0,0,57,QuTr_PC049_01_01,10031,0,4,38,,194,194,194,194,194,0,1,196256249575439510180457740937632327609565757209961056005376,0,2,3292633490477344300156935371820427672372001264698309759649493380352,237,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10033,QuTr_PC049_02_01,1,1049,0,0,0,0,0,0,57,QuTr_PC049_02_01,10032,0,1,0,,194,194,194,194,194,0,1,196257207385152551360994214904524296552805518921912420756736,0,2,3292649559857786890059690791441351083998026486728247587577846394112,238,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10034,QuTr_PC049_02_02,1,10000066,0,0,0,0,0,0,57,QuTr_PC049_02_02,10033,0,3,0,,194,194,194,194,194,0,2,196257207385152551360994214904524296552805518921912420756736,238,3,3292649559857786890059690791441351083998026486728247587577846394112,238,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10035,QuTr_PC049_03_01,1,1049,0,0,0,0,0,0,57,QuTr_PC049_03_01,10034,0,1,0,,194,194,194,194,194,0,1,196258165194865592541530688871416265496045280633863785508096,0,2,3292665629238229479962446211062274495624051708758185415506199407872,239,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10036,QuTr_PC049_04_01,1,1049,0,0,0,0,0,0,57,QuTr_PC049_04_01,10035,0,1,0,,194,194,194,194,194,0,1,196259123004578633722067162838308234439285042345815150259456,0,2,3292681698618672069865201630683197907250076930788123243434552421632,240,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10025,QuTr_PC057_01_01,1,1057,0,0,0,0,0,0,57,QuTr_PC057_01_01,10027,0,1,0,,194,194,194,194,194,0,1,197022497345872454609636914451207482201375126771052857093376,0,2,3305488994831416222361271068559156973192178888648572102331904388352,269,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10026,QuTr_PC057_02_01,1,1057,0,0,0,0,0,0,57,QuTr_PC057_02_01,10028,0,1,0,,194,194,194,194,194,0,1,197023455155585495790173388418099451144614888483004221844736,0,2,3305505064211858812264026488180080384818204110678509930260257402112,270,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10027,QuTr_PC057_03_01,1,1057,0,0,0,0,0,0,57,QuTr_PC057_03_01,10029,0,1,0,,194,194,194,194,194,0,1,197024412965298536970709862384991420087854650194955586596096,0,2,3305521133592301402166781907801003796444229332708447758188610415872,271,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10028,QuTr_PC057_04_01,1,1057,0,0,0,0,0,0,57,QuTr_PC057_04_01,10030,0,1,0,,194,194,194,194,194,0,1,197025370775011578151246336351883389031094411906906951347456,0,2,3305537202972743992069537327421927208070254554738385586116963429632,272,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10065,TreKP_SnT11B_003,6,0,0,7140,0,0,0,0,57,TreKP_SnT11B_003,99999999,0,0,0,,194,194,195,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[30010, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10066,TreKP_SnT11B_004,6,0,0,7141,0,0,0,0,57,TreKP_SnT11B_004,99999999,0,0,0,,194,194,195,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[30011, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10022,eTALK_B02S_1_1,1,0,0,0,0,0,0,0,57,B02S_1_1,10024,0,3,0,,195,195,194,194,195,0,2,95973572620027908011633407348483970406514515902071588613376,375,3,1610169358138181481664501061139230427531254730207725661088952708352,375,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
0,eTALK_B02S_1_2,1,0,0,0,0,0,0,0,57,B02S_1_2,11,0,3,0,,195,195,194,194,195,0,2,95973572620027908011633407348483970406514515902071588613376,376,3,1610169358138181481664501061139230427531254730207725661088952708352,376,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
19,eTALK_B02S_1_3,1,0,0,0,0,0,0,0,57,B02S_1_3,30,0,3,0,,195,195,194,194,195,0,2,95973572620027908011633407348483970406514515902071588613376,523,3,1610169358138181481664501061139230427531254730207725661088952708352,523,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
