m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_B07S_0_2,1,0,0,0,0,0,0,0,10010,B07S_0_2,2,0,2,0,,195,195,194,194,195,0,2,1007000,0,1009,3,1007000,0,1009,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTreBX_TP_Snow_N0_2001_B1_001,6,0,0,10028,0,0,0,0,10010,eTreBX_TP_Snow_N0_2001_B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,Tlk_SnT21_F008_SnT21B_v1_1,1,10000511,0,0,0,0,0,0,10010,Tlk_SnT21_F008_SnT21B,3,0,2,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Tlk_SnT21_F009_SnT21B_v1_1,1,10000512,0,0,0,0,0,0,10010,Tlk_SnT21_F009_SnT21B,5,0,1,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_SnT21_F010_SnT21B_v1_1,1,10000513,0,0,0,0,0,0,10010,Tlk_SnT21_F010_SnT21B,7,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_SnT21_P004_SnT21B_v1_1,1,10000522,0,0,0,0,0,0,10010,Tlk_SnT21_P004_SnT21B,9,0,3,0,,194,194,194,194,194,0,0,0,0,0,2,1007020,0,1378,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_SnT21_W007_SnT21B_v1_1,1,10000532,0,0,0,0,0,0,10010,Tlk_SnT21_W007_SnT21B,11,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,TreKP_SnT21B_SnT21_F010,6,0,0,10047,0,0,0,0,10010,TreKP_SnT21B_SnT21_F010,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[103211, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,TreKP_SnT21B_SnT21_P004,6,0,0,10048,0,0,0,0,10010,TreKP_SnT21B_SnT21_P004,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[103212, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
13,Pnl_SnT21B_Mob_001_v1,1,80069,0,0,0,0,0,0,10010,Pnl_SnT21B_Mob_001,99999999,0,4,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
14,Pnl_SnT21B_Mob_002_v1,1,80072,0,0,0,0,0,0,10010,Pnl_SnT21B_Mob_002,99999999,0,3,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
20,QuTr_PC097_01_03,1,10000653,0,0,0,0,0,0,10010,QuTr_PC097_01_03,32,0,1,1,,194,194,194,194,194,0,2,2097010,0,1640,3,2097010,0,1640,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
22,Tlk_UniqueP_Tarset_SnT21B_v1_1,1,10000998,0,0,0,0,0,0,10010,Tlk_UniqueP_Tarset_SnT21B,35,0,1,0,,194,194,194,194,194,0,3,1007010,0,0,3,1007020,0,1378,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
26,Tlk_EvB07_moving_SnT21B_v1,1,10000653,0,0,0,0,0,0,10010,Tlk_EvB07_moving_SnT21B,39,0,1,0,,195,195,195,194,195,0,2,1007010,0,1072,3,1007010,0,1072,"[0, 0, 0, 0]","[103886, 0, 0, 0]",194,0,194
