m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,Tlk_EvB07_F001_SnT21C_v1_1,1,10000450,0,0,0,0,0,0,10011,Tlk_EvB07_F001_SnT21C,0,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,Tlk_EvB07_F002_SnT21C_v1_1,1,10000451,0,0,0,0,0,0,10011,Tlk_EvB07_F002_SnT21C,2,0,4,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
3,Tlk_EvB07_W003_SnT21C_v1_1,1,10000452,0,0,0,0,0,0,10011,Tlk_EvB07_W003_SnT21C,4,0,4,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,Tlk_EvB07_W004_SnT21C_v1_1,1,10000453,0,0,0,0,0,0,10011,Tlk_EvB07_W004_SnT21C,6,0,3,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_EvB07_P005_SnT21C_v1_1,1,10000454,0,0,0,0,0,0,10011,Tlk_EvB07_P005_SnT21C,8,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,Tlk_EvB07_P006_SnT21C_v1_1,1,10000455,0,0,0,0,0,0,10011,Tlk_EvB07_P006_SnT21C,10,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
7,Tlk_EvB07_F007_SnT21C_v1_1,1,10000456,0,0,0,0,0,0,10011,Tlk_EvB07_F007_SnT21C,12,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
8,Tlk_EvB07_F008_SnT21C_v1_1,1,10000457,0,0,0,0,0,0,10011,Tlk_EvB07_F008_SnT21C,14,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
9,Tlk_EvB07_P009_SnT21C_v1_1,1,10000458,0,0,0,0,0,0,10011,Tlk_EvB07_P009_SnT21C,16,0,2,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
10,Tlk_EvB07_P010_SnT21C_v1_1,1,10000459,0,0,0,0,0,0,10011,Tlk_EvB07_P010_SnT21C,18,0,1,0,,194,194,194,194,194,0,2,1007000,0,1058,3,1007000,0,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
