m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
0,NONE,0,0,0,0,0,0,0,0,0,,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
2,eTALK_B07S_1_1,9,1703,0,0,0,0,0,0,10034,B07S_1_1,2,0,1,0,SnT_2002A1_02,194,195,194,194,195,0,2,1007010,0,1072,3,1007010,0,1072,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
4,eTALK_B07S_1_2,1,0,0,0,0,0,0,0,10034,B07S_1_2,5,0,0,0,,195,195,194,194,195,0,2,1007010,0,1073,3,1007010,0,1073,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
5,Tlk_EvB07_W023_SnT22A_v2_1,1,1705,0,0,0,0,0,0,10034,Tlk_EvB07_W023_SnT22A,6,0,4,0,,194,194,194,194,194,0,2,1007010,0,1073,3,1007010,0,1073,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
6,eTALK_B07S_1_3_NPC02,1,10000659,0,0,0,0,0,0,10034,B07S_1_3_NPC02,99999999,0,3,38,,194,195,194,194,194,0,2,1007010,0,1073,3,1007010,0,1073,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
40,eTreBX_TP_Snow_N0_2002_A1_001,6,0,0,10100,0,0,0,0,10034,eTreBX_TP_Snow_N0_2002_A1_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
41,eTreBX_TP_Snow_N0_2002_A1_002,6,0,0,10101,0,0,0,0,10034,eTreBX_TP_Snow_N0_2002_A1_002,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
42,eTreBX_TP_Snow_N0_2002_A1_003,6,0,0,10102,0,0,0,0,10034,eTreBX_TP_Snow_N0_2002_A1_003,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
43,TreBx_SnT22A_004,6,0,0,1020,0,0,0,0,10034,TreBx_SnT22A_004,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
44,TreBx_SnT22A_005,6,0,0,1021,0,0,0,0,10034,TreBx_SnT22A_005,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
45,TreBx_SnT22A_006,6,0,0,1022,0,0,0,0,10034,TreBx_SnT22A_006,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
46,TreBx_SnT22A_007,6,0,0,1023,0,0,0,0,10034,TreBx_SnT22A_007,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
47,TreBx_SnT22A_008,6,0,0,1024,0,0,0,0,10034,TreBx_SnT22A_008,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
48,TreBx_SnT22A_009,6,0,0,1025,0,0,0,0,10034,TreBx_SnT22A_009,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
87,TreKP_SnT22A_SnT22_F005,6,0,0,10115,0,0,0,0,10034,TreKP_SnT22A_SnT22_F005,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[103470, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
88,TreKP_SnT22A_SnT22_P003,6,0,0,10116,0,0,0,0,10034,TreKP_SnT22A_SnT22_P003,99999999,0,0,0,,194,194,195,194,194,0,0,0,0,0,0,0,0,0,"[103471, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
49,QuTr_PC089_01_01,1,1089,0,0,0,0,0,0,10034,QuTr_PC089_01_01,40,0,1,0,,194,194,194,194,194,0,1,2089010,0,0,2,2089010,0,1552,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
50,QuTr_PC089_01_02,1,10000653,0,0,0,0,0,0,10034,QuTr_PC089_01_02,41,0,1,0,,194,194,194,194,194,0,2,2089010,0,1552,3,2089010,0,1552,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
51,QuTr_PC089_02_01,1,1089,0,0,0,0,0,0,10034,QuTr_PC089_02_01,43,0,2,0,,194,194,194,194,194,0,1,2089020,0,0,2,2089020,0,1554,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
52,QuTr_PC089_03_01,1,1089,0,0,0,0,0,0,10034,QuTr_PC089_03_01,44,0,2,0,,194,194,194,194,194,0,1,2089030,0,0,2,2089030,0,1557,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
53,QuTr_PC089_03_02,1,10000775,0,0,0,0,0,0,10034,QuTr_PC089_03_02,45,0,1,0,,194,194,194,194,194,0,2,2089030,0,1557,3,2089030,0,1557,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
