m_id,m_OwnerChara,m_MapID,m_AppearLabel,m_AppearDir,m_TalkDir,m_EventID,m_QuestID,m_Priority,m_InputCheck,m_HideChara,m_HideIcon,m_Root,m_AutoTalk,m_ChoiceTalk,m_Affection,m_ChainTalk,m_TalkText,m_EmbedWord1,m_EmbedWord2,m_EmbedWord3,m_EmbedWord4,m_Boss,m_Progress,m_ChainConditionID,m_Inflence,m_TrigConditionID,m_NoneConditionID,m_ChoiceJump
0,0,0,Error,3,0,0,0,10,0,194,194,194,194,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1,1,2,Landmark1,3,0,0,0,10,0,194,194,195,194,194,194,2,1,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
2,1,2,Landmark1,3,0,0,0,0,0,194,194,194,194,194,194,0,2,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
3,68,0,RecoveryPoint,3,0,0,0,10,0,195,194,195,194,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
4,65,2,Landmark4,3,0,0,0,10,0,194,194,195,194,194,194,0,4,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
5,67,2,Landmark5,3,0,0,0,10,0,194,194,195,194,194,194,0,5,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
6,66,48,Landmark6,1,6,0,0,10,0,194,194,195,194,194,194,0,6,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
7,104,48,Landmark7,1,6,0,0,10,0,194,194,195,194,194,194,0,7,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
8,67,48,Landmark8,1,6,0,0,10,0,194,194,195,194,194,194,0,8,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
9,105,48,Landmark9,4,6,0,0,10,0,194,194,195,194,194,194,10,9,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
10,105,48,Landmark9,4,6,0,0,10,0,194,194,194,194,194,194,0,10,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
11,132,48,Landmark10,3,6,0,0,10,0,194,194,195,194,194,194,0,11,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
12,103,48,Landmark11,1,6,0,0,10,0,194,194,195,194,194,194,0,12,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
13,106,48,Landmark12,3,6,0,0,10,0,194,194,195,194,194,194,14,13,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
14,106,48,Landmark12,3,6,0,0,10,0,194,194,194,194,194,194,15,14,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
15,106,48,Landmark12,3,6,0,0,10,0,194,194,194,194,194,194,0,15,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
