m_id,m_TalkNo,m_EndTalkFlg,m_StartOnly,m_NotTurn,m_ResetLastNpcDir,m_OpenUI,m_Affection,m_ChoiceTalk,m_TalkText,m_BalloonType,m_HideBalloonTail,m_PCTargetBalloon,m_TalkDir,m_EventID,m_QuestID,m_TrigConditionID,m_ChoiceText1,m_InfluenceValue1,m_ConnectTalkNo1,m_ChoiceText2,m_InfluenceValue2,m_ConnectTalkNo2,m_ChoiceText3,m_InfluenceValue3,m_ConnectTalkNo3,m_ChoiceText4,m_InfluenceValue4,m_ConnectTalkNo4
1,1,194,194,194,194,194,194,194,40418,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
4,2,195,194,194,194,194,194,194,40448,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
5,1,194,194,194,194,194,194,194,40459,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
6,2,195,194,194,194,194,194,194,40460,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
2,1,194,194,194,194,194,194,194,40413,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
3,2,195,194,194,194,194,194,194,40414,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
7,1,194,194,194,194,194,194,195,40461,0,194,194,6,0,0,"[104920, 0, 0, 0]",40463,"[0, 0, 0, 0]",0,40462,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
18,2,194,194,194,194,194,194,194,40465,2,194,195,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
9,3,194,194,194,194,194,194,195,40383,0,194,194,6,0,0,"[104917, 0, 0, 0]",40385,"[0, 0, 0, 0]",7,40386,"[0, 0, 0, 0]",8,40387,"[0, 0, 0, 0]",9,40388,"[0, 0, 0, 0]",10
10,4,194,194,194,194,194,194,195,40383,0,194,194,6,0,0,"[104920, 104921, 104918, 0]",40385,"[0, 0, 0, 0]",7,40387,"[0, 0, 0, 0]",9,40388,"[0, 0, 0, 0]",10,0,"[0, 0, 0, 0]",0
11,5,194,194,194,194,194,194,195,40383,0,194,194,6,0,0,"[104920, 104921, 0, 0]",40385,"[0, 0, 0, 0]",7,40387,"[0, 0, 0, 0]",9,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
12,6,194,194,194,194,194,194,195,40383,0,194,194,6,0,0,"[104920, 0, 0, 0]",40385,"[0, 0, 0, 0]",7,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
13,7,194,194,194,194,194,194,194,0,0,194,194,6,9672,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
14,8,194,194,194,194,194,194,194,0,0,194,194,6,9673,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
15,9,194,194,194,194,194,194,194,0,0,194,194,6,9674,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
16,10,195,194,194,194,194,194,194,0,0,194,194,6,9675,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
17,1,195,194,194,194,194,194,194,0,0,194,194,6,9581,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
