m_id,m_TalkNo,m_EndTalkFlg,m_StartOnly,m_NotTurn,m_ResetLastNpcDir,m_OpenUI,m_Affection,m_ChoiceTalk,m_TalkText,m_BalloonType,m_HideBalloonTail,m_PCTargetBalloon,m_TalkDir,m_EventID,m_QuestID,m_TrigConditionID,m_ChoiceText1,m_InfluenceValue1,m_ConnectTalkNo1,m_ChoiceText2,m_InfluenceValue2,m_ConnectTalkNo2,m_ChoiceText3,m_InfluenceValue3,m_ConnectTalkNo3,m_ChoiceText4,m_InfluenceValue4,m_ConnectTalkNo4
17,1,194,194,194,194,194,194,194,5021,0,195,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
18,2,195,194,194,194,194,194,194,5022,0,195,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
14,1,195,194,194,194,194,194,194,5000,2,194,195,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
19,1,195,194,195,194,194,194,194,0,0,194,194,6,4616,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
16,1,195,194,195,194,194,194,194,0,0,194,194,6,4616,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
22,1,194,194,194,194,194,194,195,36036,0,194,194,0,0,0,"[0, 0, 0, 0]",36038,"[0, 0, 0, 0]",0,36037,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
25,2,195,194,194,194,194,194,194,0,0,194,194,0,730,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
26,1,195,194,194,194,194,194,194,0,0,194,194,0,771,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
21,1,194,194,194,194,194,194,195,36036,0,194,194,0,0,0,"[0, 0, 0, 0]",36038,"[0, 0, 0, 0]",0,36037,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
24,2,195,194,194,194,194,194,194,0,0,194,194,0,808,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
