m_id,m_TalkNo,m_EndTalkFlg,m_StartOnly,m_NotTurn,m_ResetLastNpcDir,m_OpenUI,m_Affection,m_ChoiceTalk,m_TalkText,m_BalloonType,m_HideBalloonTail,m_PCTargetBalloon,m_TalkDir,m_EventID,m_QuestID,m_TrigConditionID,m_ChoiceText1,m_InfluenceValue1,m_ConnectTalkNo1,m_ChoiceText2,m_InfluenceValue2,m_ConnectTalkNo2,m_ChoiceText3,m_InfluenceValue3,m_ConnectTalkNo3,m_ChoiceText4,m_InfluenceValue4,m_ConnectTalkNo4
18,1,195,194,194,194,194,194,194,5003,0,195,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
33,1,194,194,194,194,194,194,194,5003,0,195,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
34,2,195,194,194,194,194,194,194,5004,0,195,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
17,1,195,194,194,194,194,194,194,5000,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
25,1,194,194,194,194,194,194,195,36036,0,194,194,0,0,0,"[0, 0, 0, 0]",36038,"[0, 0, 0, 0]",0,36037,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
26,2,195,194,194,194,194,194,194,0,0,194,194,0,610,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
27,1,195,194,194,194,194,194,194,0,0,194,194,0,616,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
28,1,194,194,194,194,194,194,195,36036,0,194,194,0,0,0,"[0, 0, 0, 0]",36038,"[0, 0, 0, 0]",0,36037,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
29,2,195,194,194,194,194,194,194,0,0,194,194,0,1022,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
30,1,195,194,194,194,194,194,194,0,0,194,194,0,1035,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
