m_id,m_TalkNo,m_EndTalkFlg,m_StartOnly,m_NotTurn,m_ResetLastNpcDir,m_OpenUI,m_Affection,m_ChoiceTalk,m_TalkText,m_BalloonType,m_HideBalloonTail,m_PCTargetBalloon,m_TalkDir,m_EventID,m_QuestID,m_TrigConditionID,m_ChoiceText1,m_InfluenceValue1,m_ConnectTalkNo1,m_ChoiceText2,m_InfluenceValue2,m_ConnectTalkNo2,m_ChoiceText3,m_InfluenceValue3,m_ConnectTalkNo3,m_ChoiceText4,m_InfluenceValue4,m_ConnectTalkNo4
138,1,195,194,194,194,194,194,194,0,0,194,194,0,0,2039010,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
139,1,195,194,194,194,194,194,194,0,0,194,194,0,0,2039020,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
140,1,195,194,194,194,194,194,194,0,0,194,194,0,0,2039030,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
141,1,195,194,194,194,194,194,194,0,0,194,194,0,0,2039040,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
103,1,194,194,194,194,194,194,194,36113,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
142,2,194,194,194,194,194,194,194,36155,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
153,3,195,194,194,194,194,194,194,36346,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
155,1,194,194,194,194,194,194,194,36348,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
156,2,194,194,194,194,194,194,194,36349,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
157,3,195,194,194,194,194,194,194,36350,0,194,194,6,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
