m_id,m_TalkNo,m_EndTalkFlg,m_StartOnly,m_NotTurn,m_ResetLastNpcDir,m_OpenUI,m_Affection,m_ChoiceTalk,m_TalkText,m_BalloonType,m_HideBalloonTail,m_PCTargetBalloon,m_TalkDir,m_EventID,m_QuestID,m_TrigConditionID,m_ChoiceText1,m_InfluenceValue1,m_ConnectTalkNo1,m_ChoiceText2,m_InfluenceValue2,m_ConnectTalkNo2,m_ChoiceText3,m_InfluenceValue3,m_ConnectTalkNo3,m_ChoiceText4,m_InfluenceValue4,m_ConnectTalkNo4
0,0,194,194,194,194,194,194,194,0,0,194,194,0,0,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
1,1,194,194,194,194,194,194,195,39375,0,194,194,0,0,0,"[103710, 0, 0, 0]",39376,"[0, 0, 0, 0]",4,39377,"[0, 0, 0, 0]",5,39378,"[0, 0, 0, 0]",6,39380,"[0, 0, 0, 0]",0
2,2,194,194,194,194,194,194,195,39375,0,194,194,0,0,0,"[103709, 0, 0, 0]",39376,"[0, 0, 0, 0]",4,39377,"[0, 0, 0, 0]",5,39380,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
5,3,194,194,194,194,194,194,195,39375,0,194,194,0,0,0,"[0, 0, 0, 0]",39380,"[0, 0, 0, 0]",0,39376,"[0, 0, 0, 0]",4,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
6,4,194,194,194,194,194,194,194,0,0,194,194,0,8078,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
7,5,194,194,194,194,194,194,194,0,0,194,194,0,8210,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
8,6,195,194,194,194,194,194,194,0,0,194,194,0,8212,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
9,1,194,194,194,194,194,194,195,39375,0,194,194,0,0,0,"[0, 0, 0, 0]",39380,"[0, 0, 0, 0]",0,39376,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
10,2,195,194,194,194,194,194,194,0,0,194,194,0,7950,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
3,1,194,194,194,194,194,194,195,36036,0,194,194,7,0,0,"[0, 0, 0, 0]",36038,"[0, 0, 0, 0]",0,36037,"[0, 0, 0, 0]",2,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
4,2,195,194,194,194,194,194,194,0,0,194,194,7,7955,0,"[0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0
