m_id,m_label,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID
0,MOC_B00__clr,0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
10,MOC_B00__clr_a,3,1001010,365,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
1,MOC_B01_qst3_clr,0,0,0,3,1001030,374,"[0, 0, 0, 0]","[0, 0, 0, 0]"
2,MOC_B01_qst3_clr_a,3,1001030,374,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
3,MOC_B02_qst3_clr,0,0,0,3,1002030,392,"[0, 0, 0, 0]","[0, 0, 0, 0]"
24,MOC_B02_qst3_clr_b,3,1002030,392,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
5,MOC_B02_tsk4_clr,0,0,0,0,0,0,"[0, 0, 0, 0]","[1502, 0, 0, 0]"
6,MOC_B02_tsk4_clr_a,0,0,0,0,0,0,"[1502, 0, 0, 0]","[1501, 0, 0, 0]"
4,MOC_B02_qst3_clr_a,0,0,0,0,0,0,"[1501, 0, 0, 0]","[0, 0, 0, 0]"
7,MOC_B01_qst3_clr_b,2,1001030,370,0,0,0,"[0, 0, 0, 0]","[6, 0, 0, 0]"
11,MOC_EvB02_02_11a_clr,0,0,0,0,0,0,"[0, 0, 0, 0]","[1012, 0, 0, 0]"
12,MOC_EvB02_02_11a_clr_a,0,0,0,3,1002030,392,"[1012, 0, 0, 0]","[0, 0, 0, 0]"
34,MOC_EvB02_02_11a_clr_b,3,1002030,392,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
13,MOC_EvB03_01_01a_clr,2,1003010,300,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
14,MOC_B03_qst1_clr,0,0,0,0,0,0,"[0, 0, 0, 0]","[2000, 0, 0, 0]"
15,MOC_B02_tsk1_clr,0,0,0,3,1002020,386,"[0, 0, 0, 0]","[0, 0, 0, 0]"
16,MOC_B02_tsk7_clr,3,1002020,386,3,1002030,390,"[0, 0, 0, 0]","[0, 0, 0, 0]"
17,MOC_B02_tsk4_clr_b,3,1002030,390,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
20,MOC_EvB04_01_02a_clr,2,1004010,538,3,1004010,540,"[0, 0, 0, 0]","[0, 0, 0, 0]"
25,MOC_B04_qst8_clr,0,0,0,3,1004080,578,"[0, 0, 0, 0]","[0, 0, 0, 0]"
26,MOC_B04_qst8_clr_a,3,1004080,578,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
27,MOC_B04_qst7_clr,0,0,0,3,1004070,569,"[0, 0, 0, 0]","[0, 0, 0, 0]"
28,MOC_B04_qst7_clr_a,3,1004070,569,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
29,MOC_B06_qst1_clr,0,0,0,3,1006010,1045,"[0, 0, 0, 0]","[0, 0, 0, 0]"
30,MOC_B06_qst1_clr_a,3,1006010,1045,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
42,MOC_B07_qst1_clr_a,3,1007010,1072,3,1007010,1423,"[0, 0, 0, 0]","[0, 0, 0, 0]"
31,MOC_B06_qst2_clr,0,0,0,0,0,0,"[0, 0, 0, 0]","[103565, 0, 0, 0]"
33,MOC_B06_qst2_clr_a,0,0,0,0,0,0,"[103565, 0, 0, 0]","[103252, 0, 0, 0]"
32,MOC_B06_qst2_clr_c,0,0,0,0,0,0,"[103252, 0, 0, 0]","[0, 0, 0, 0]"
43,MOC_EvB06_02_08e_clr_a,0,0,0,0,0,0,"[0, 0, 0, 0]","[103251, 0, 0, 0]"
44,MOC_EvB06_03_02a_clr_a,0,0,0,3,1006030,1930,"[103252, 0, 0, 0]","[0, 0, 0, 0]"
47,MOC_B06_qst2_tsk3_clr,0,0,0,3,1006020,1716,"[103251, 0, 0, 0]","[0, 0, 0, 0]"
48,MOC_B06_qst2_tsk4_clr,0,0,0,0,0,0,"[103251, 0, 0, 0]","[0, 0, 0, 0]"
56,MOC_Twn_TEST_initial,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
77,MOC_Twn_TEST_BuildNow,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
57,MOC_Twn_TEST_BuiltAll,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
