m_id,m_LevelObjectName,m_TexPath
0,,
1,EvObj_Tiesel_Perfume_Fog,
2,EvObj_Tiesel_TableSet_A,
3,ObjMD_Cemetery_Sonia,/Game/Object/Resource/V1_0_0/Obj/Obj_Cemetery/StaticMesh/ObjMD_Cemetery_Sonia_A.ObjMD_Cemetery_Sonia_A
4,ObjMD_Cemetery_Gattuso,/Game/Object/Resource/V1_0_0/Obj/Obj_Cemetery/StaticMesh/ObjMD_Cemetery_Sonia_A.ObjMD_Cemetery_Sonia_A
5,EvObj_StageCurtain_A,
6,BPI_EvObj_StageTorch_A,/Game/Object/Resource/BP/BP_Obj/BPI_EvObj_StageTorch_A.BPI_EvObj_StageTorch_A_C
7,EvObj_Monument_Pluto_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Pluto_Cemetery_A.ObjMD_Ev_Pluto_Cemetery_A
8,EvObj_Cemetery_Sonia_Flower,/Game/Object/Resource/V1_0_0/Obj/Obj_Cemetery/StaticMesh/ObjMD_Cemetery_Sonia_Flower_A.ObjMD_Cemetery_Sonia_Flower_A
9,EvObj_WhiteFlower_A,
10,EvObj_Vieri_Powder_A,
11,EvObj_Bonfire_A,
12,EvObj_TomatoSpaghetti_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_TomatoSpaghetti_A.ObjMD_Ev_TomatoSpaghetti_A
13,EvObj_Hannibal_Table_Food_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Hannibal_Table_Food_A.ObjMD_Ev_Hannibal_Table_Food_A
14,EvObj_Stage_Sets_A,
15,Recovery_Point,/Game/Object/Resource/BP/Npc_Obj/RecoveryPoint/BP_Npc_RecoveryPoint.BP_Npc_RecoveryPoint_C
16,EvObj_Snow_Red_EV1005A1,
17,EvObj_Snow_White_EV1005A1,
18,EvObj_Vault_Flame_A,
243,EvObj_Vault_Flame_A_Off,
19,,
20,,
21,,
22,EvObj_StageRighting_A,
23,EvObj_Theater_C_Statue_A,
24,EvObj_Theater_C_Statue_B,
25,ObjMD_Door_Tiesel_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Tiesel_A.ObjMD_Door_Tiesel_A
26,ObjMD_Door_Hannibal_Labo_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Hannibal_Labo_A.ObjMD_Door_Hannibal_Labo_A
27,ObjMD_Door_Hannibal_Office_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Hannibal_Office_A.ObjMD_Door_Hannibal_Office_A
