m_id,m_Treasures,m_Probability
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[12, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[13, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"[20, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[21, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"[22, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"[23, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[24, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[30, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[31, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"[40, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"[41, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"[42, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,"[43, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"[44, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"[50, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"[51, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"[52, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[53, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"[60, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"[61, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"[62, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,"[63, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,"[64, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"[70, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"[71, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"[72, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,"[73, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"[80, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,"[81, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,"[83, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,"[90, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,"[91, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,"[92, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,"[93, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,"[110, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,"[111, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,"[112, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7134,"[7134, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7135,"[7135, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7136,"[7136, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7137,"[7137, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
