m_id,m_Quality,m_IOS,m_GPUName,m_DeviceName
0,3,38,,
1,2,26,,
2,2,16,,
3,2,17,,
4,3,18,,
5,3,19,,
6,4,20,,
7,4,21,,
8,4,22,,
9,4,32,,
10,4,33,,
11,4,34,,
12,1,11,,
13,1,13,,
14,2,31,,
15,3,35,,
17,2,27,,
18,2,28,,
19,3,29,,
24,3,30,,
25,4,36,,
26,4,37,,
100,1,0,PowerVR,
101,1,0,Tegra,
102,1,0,IntelHD,
103,1,0,Adreno_2,
104,1,0,Adreno_3,
105,1,0,Adreno_4,
106,1,0,Adreno_50,
107,1,0,Adreno_510,
108,1,0,Adreno_530,
109,3,0,Adreno_540,
110,1,0,Adreno_60,
111,2,0,Adreno_61,
126,4,0,Adreno_620,
112,4,0,Adreno_630,
113,4,0,Adreno_640,
125,4,0,Adreno_650,
114,1,0,Mali_4,
115,1,0,Mali_T6,
116,1,0,Mali_T7,
117,1,0,Mali_T8,
118,1,0,Mali_G31,
119,1,0,Mali_G51,
120,1,0,Mali_G71,
121,2,0,Mali_G52,
122,2,0,Mali_G72,
123,4,0,Mali_G76,
124,4,0,Mali_G77,
