m_id,m_LimitType,m_DefeatBackMap,m_worldMapID,m_mapID,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_BgmID
0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
6,"[2, 0, 0, 0, 0]",0,"[26, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1001010,364,2,1001030,372,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
4,"[2, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1002010,375,0,0,0,"[0, 0, 0, 0]","[1000, 0, 0, 0]",0
8,"[2, 0, 0, 0, 0]",0,"[10003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,3,1002010,375,"[1000, 0, 0, 0]","[0, 0, 0, 0]",0
9,"[2, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1002010,523,3,1002010,523,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
1,"[2, 1, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1004000,535,3,1004000,535,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
10,"[2, 1, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1004020,546,3,1004020,546,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
2,"[2, 1, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1004020,888,3,1004020,888,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
7,"[2, 0, 0, 0, 0]",0,"[6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1004060,567,3,1004060,567,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
12,"[2, 0, 0, 0, 0]",0,"[7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,3,1004080,577,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
