m_id,m_LevelId,m_AppearLabel
0,0,
2,10014,QuTr_Merge_DsT21A_G01
3,10014,QuTr_Merge_DsT21A_G02
4,10014,QuTr_Merge_DsT21A_G03
5,10019,QuTr_Merge_DsD29A_G01
6,10016,QuTr_Merge_DsF21A_G01
7,10026,QuTr_Merge_SeT21A_G01
8,10026,QuTr_Merge_SeT21A_G02
9,10026,QuTr_Merge_SeT21A_G03
10,10027,QuTr_Merge_SeT21B_G01
11,10027,QuTr_Merge_SeT21B_G02
12,10029,QuTr_Merge_SeF21A_G01
13,10029,QuTr_Merge_SeF21A_G02
16,8,QuTr_Merge_ClD12A_G01
17,36,QuTr_Merge_MnF11A_G01
18,120,QuTr_Merge_MnT12A_G01
19,121,QuTr_Merge_MnT12B_G01
20,121,QuTr_Merge_MnT12B_G02
21,121,QuTr_Merge_MnT12B_G03
22,56,QuTr_Merge_SnT11A_G01
23,56,QuTr_Merge_SnT11A_G02
24,56,QuTr_Merge_SnT11A_G03
25,56,QuTr_Merge_SnT11A_G04
26,57,QuTr_Merge_SnT11B_G01
27,119,QuTr_Merge_SnD14A_G01
28,119,QuTr_Merge_SnD14A_G02
29,10026,QuTr_Merge_SeT21A_G04
30,10014,QuTr_Merge_DsT21A_G04
31,10014,QuTr_Merge_DsT21A_G05
32,10016,QuTr_Merge_DsF21A_G02
38,37,QuTr_Merge_MnF12A_G01
41,2,QuTr_Merge_ClF11A_G01
42,10034,QuTr_Merge_SnT22A_G01
43,10034,QuTr_Merge_SnT22A_G02
45,10026,QuTr_Merge_SeT21A_G05
46,10027,QuTr_Merge_SeT21B_G03
47,100026,QuTr_Merge_SeT21D_G01
49,10033,QuTr_Merge_PlT21B_G01
51,120,QuTr_Merge_MnT12A_G02
52,10029,QuTr_Merge_SeF21A_G03
53,121,QuTr_Merge_MnT12B_G04
54,2,QuTr_Merge_ClF11A_G02
55,2,QuTr_Merge_ClF11A_G03
56,2,QuTr_Merge_ClF11A_G04
57,2,QuTr_Merge_ClF11A_G05
58,120,QuTr_Merge_MnT12A_G03
59,121,QuTr_Merge_MnT12B_G05
60,26,QuTr_Merge_DsT11A_G01
61,27,QuTr_Merge_DsF11A_G01
62,26,QuTr_Merge_DsT11A_G02
63,10001,QuTr_Merge_FsT21A_G01
64,133,QuTr_Merge_PlT11C_G01
65,79,QuTr_Merge_PlF11A_G01
